country;group;week;zscore
Austria;Total;2016-13;1.92
Austria;Total;2016-14;1.31
Austria;Total;2016-15;0.84
Austria;Total;2016-16;-1.11
Austria;Total;2016-17;-0.07
Austria;Total;2016-18;0.1
Austria;Total;2016-19;0.74
Austria;Total;2016-20;0.49
Austria;Total;2016-21;1.46
Austria;Total;2016-22;-0.29
Austria;Total;2016-23;-0.84
Austria;Total;2016-24;-1.14
Austria;Total;2016-25;0.83
Austria;Total;2016-26;-1.35
Austria;Total;2016-27;-1.57
Austria;Total;2016-28;-1.64
Austria;Total;2016-29;1
Austria;Total;2016-30;0.26
Austria;Total;2016-31;-0.32
Austria;Total;2016-32;-1.03
Austria;Total;2016-33;-0.4
Austria;Total;2016-34;-0.46
Austria;Total;2016-35;-0.33
Austria;Total;2016-36;-1.16
Austria;Total;2016-37;-1.11
Austria;Total;2016-38;-1.73
Austria;Total;2016-39;-0.51
Austria;Total;2016-40;-0.28
Austria;Total;2016-41;1.11
Austria;Total;2016-42;2.03
Austria;Total;2016-43;0.15
Austria;Total;2016-44;-0.7
Austria;Total;2016-45;0.02
Austria;Total;2016-46;1.16
Austria;Total;2016-47;-0.17
Austria;Total;2016-48;0.64
Austria;Total;2016-49;0.93
Austria;Total;2016-50;1.42
Austria;Total;2016-51;4.22
Austria;Total;2016-52;9.02
Austria;Total;2017-01;11.49
Austria;Total;2017-02;11.9
Austria;Total;2017-03;8.06
Austria;Total;2017-04;6.29
Austria;Total;2017-05;7.85
Austria;Total;2017-06;5.18
Austria;Total;2017-07;3.79
Austria;Total;2017-08;4.56
Austria;Total;2017-09;2.97
Austria;Total;2017-10;2.04
Austria;Total;2017-11;0.9
Austria;Total;2017-12;0.78
Austria;Total;2017-13;0.15
Austria;Total;2017-14;0.96
Austria;Total;2017-15;1.39
Austria;Total;2017-16;0.23
Austria;Total;2017-17;-0.18
Austria;Total;2017-18;1.5
Austria;Total;2017-19;0.28
Austria;Total;2017-20;1.64
Austria;Total;2017-21;-1.62
Austria;Total;2017-22;0.85
Austria;Total;2017-23;-1.85
Austria;Total;2017-24;0.63
Austria;Total;2017-25;1.63
Austria;Total;2017-26;0.68
Austria;Total;2017-27;0.64
Austria;Total;2017-28;-0.76
Austria;Total;2017-29;1.22
Austria;Total;2017-30;-0.01
Austria;Total;2017-31;4.06
Austria;Total;2017-32;-1.27
Austria;Total;2017-33;-0.81
Austria;Total;2017-34;1.13
Austria;Total;2017-35;-1.48
Austria;Total;2017-36;-1.81
Austria;Total;2017-37;0.14
Austria;Total;2017-38;-0.52
Austria;Total;2017-39;0.53
Austria;Total;2017-40;0.3
Austria;Total;2017-41;0.76
Austria;Total;2017-42;-0.65
Austria;Total;2017-43;-0.1
Austria;Total;2017-44;0.74
Austria;Total;2017-45;-0.25
Austria;Total;2017-46;-0.24
Austria;Total;2017-47;0.63
Austria;Total;2017-48;-0.16
Austria;Total;2017-49;1.35
Austria;Total;2017-50;0.08
Austria;Total;2017-51;1.34
Austria;Total;2017-52;1.62
Austria;Total;2018-01;3.12
Austria;Total;2018-02;4.26
Austria;Total;2018-03;3.49
Austria;Total;2018-04;2.21
Austria;Total;2018-05;4.68
Austria;Total;2018-06;0.4
Austria;Total;2018-07;4.14
Austria;Total;2018-08;6.25
Austria;Total;2018-09;7.57
Austria;Total;2018-10;7.1
Austria;Total;2018-11;6.65
Austria;Total;2018-12;2.29
Austria;Total;2018-13;4.15
Austria;Total;2018-14;1.89
Austria;Total;2018-15;1.13
Austria;Total;2018-16;1.35
Austria;Total;2018-17;-1.58
Austria;Total;2018-18;-0.66
Austria;Total;2018-19;-1.44
Austria;Total;2018-20;-2.23
Austria;Total;2018-21;-1.45
Austria;Total;2018-22;-0.36
Austria;Total;2018-23;-0.09
Austria;Total;2018-24;-0.74
Austria;Total;2018-25;-0.32
Austria;Total;2018-26;0.06
Austria;Total;2018-27;0.63
Austria;Total;2018-28;-0.4
Austria;Total;2018-29;1.6
Austria;Total;2018-30;0.69
Austria;Total;2018-31;3.43
Austria;Total;2018-32;2.1
Austria;Total;2018-33;0.19
Austria;Total;2018-34;0.58
Austria;Total;2018-35;-0.28
Austria;Total;2018-36;-1.31
Austria;Total;2018-37;-0.23
Austria;Total;2018-38;-1.15
Austria;Total;2018-39;-0.84
Austria;Total;2018-40;1.15
Austria;Total;2018-41;-0.18
Austria;Total;2018-42;-0.37
Austria;Total;2018-43;-0.54
Austria;Total;2018-44;0.34
Austria;Total;2018-45;-0.81
Austria;Total;2018-46;-0.13
Austria;Total;2018-47;-0.76
Austria;Total;2018-48;-0.81
Austria;Total;2018-49;0.96
Austria;Total;2018-50;0.5
Austria;Total;2018-51;1.05
Austria;Total;2018-52;1.58
Austria;Total;2019-01;1.14
Austria;Total;2019-02;2.16
Austria;Total;2019-03;0.74
Austria;Total;2019-04;1.89
Austria;Total;2019-05;2.24
Austria;Total;2019-06;3.17
Austria;Total;2019-07;3.68
Austria;Total;2019-08;2.69
Austria;Total;2019-09;3.03
Austria;Total;2019-10;4.04
Austria;Total;2019-11;3.58
Austria;Total;2019-12;1.08
Austria;Total;2019-13;1.87
Austria;Total;2019-14;1.13
Austria;Total;2019-15;0.43
Austria;Total;2019-16;0.81
Austria;Total;2019-17;0.02
Austria;Total;2019-18;-1.14
Austria;Total;2019-19;-0.3
Austria;Total;2019-20;0.97
Austria;Total;2019-21;0.3
Austria;Total;2019-22;0.52
Austria;Total;2019-23;1.51
Austria;Total;2019-24;2.03
Austria;Total;2019-25;-0.29
Austria;Total;2019-26;0.45
Austria;Total;2019-27;1.51
Austria;Total;2019-28;-1.92
Austria;Total;2019-29;-0.23
Austria;Total;2019-30;1.79
Austria;Total;2019-31;-0.05
Austria;Total;2019-32;-0.62
Austria;Total;2019-33;-1.01
Austria;Total;2019-34;0.01
Austria;Total;2019-35;0.63
Austria;Total;2019-36;-0.92
Austria;Total;2019-37;-1.21
Austria;Total;2019-38;-0.47
Austria;Total;2019-39;1.54
Austria;Total;2019-40;0.42
Austria;Total;2019-41;1.13
Austria;Total;2019-42;-0.59
Austria;Total;2019-43;-0.14
Austria;Total;2019-44;-0.63
Austria;Total;2019-45;-0.07
Austria;Total;2019-46;-0.29
Austria;Total;2019-47;-0.49
Austria;Total;2019-48;-0.18
Austria;Total;2019-49;0.14
Austria;Total;2019-50;0.98
Austria;Total;2019-51;-0.29
Austria;Total;2019-52;0.18
Austria;Total;2020-01;-0.12
Austria;Total;2020-02;1.16
Austria;Total;2020-03;2.83
Austria;Total;2020-04;2.4
Austria;Total;2020-05;4.67
Austria;Total;2020-06;1.72
Austria;Total;2020-07;4.24
Austria;Total;2020-08;1.63
Austria;Total;2020-09;2.52
Austria;Total;2020-10;2.46
Austria;Total;2020-11;2.13
Austria;Total;2020-12;3.94
Austria;Total;2020-13;2.85
Austria;Total;2020-14;4.18
Austria;Total;2020-15;3.86
Austria;Total;2020-16;2.37
Austria;Total;2020-17;0.7
Austria;Total;2020-18;-1.13
Austria;Total;2020-19;-0.25
Austria;Total;2020-20;-0.64
Austria;Total;2020-21;-0.72
Austria;Total;2020-22;-1.66
Austria;Total;2020-23;-0.22
Austria;Total;2020-24;-0.71
Austria;Total;2020-25;-1.58
Austria;Total;2020-26;-1.01
Austria;Total;2020-27;1.37
Austria;Total;2020-28;-1.7
Austria;Total;2020-29;-0.53
Austria;Total;2020-30;-0.61
Austria;Total;2020-31;0.88
Austria;Total;2020-32;-1.08
Austria;Total;2020-33;1.9
Austria;Total;2020-34;-0.34
Austria;Total;2020-35;-0.1
Austria;Total;2020-36;0.17
Austria;Total;2020-37;0.9
Austria;Total;2020-38;0.67
Austria;Total;2020-39;-0.25
Austria;Total;2020-40;0.45
Austria;Total;2020-41;0.86
Austria;Total;2020-42;0.55
Austria;Total;2020-43;3.23
Austria;Total;2020-44;4.67
Austria;Total;2020-45;6.28
Austria;Total;2020-46;10.06
Austria;Total;2020-47;11.9
Austria;Total;2020-48;11.88
Austria;Total;2020-49;13.02
Austria;Total;2020-50;12.13
Austria;Total;2020-51;8.89
Austria;Total;2020-52;6.93
Austria;Total;2020-53;5.15
Austria;Total;2021-01;4.35
Austria;Total;2021-02;4.38
Austria;Total;2021-03;4.89
Austria;Total;2021-04;4.07
Austria;Total;2021-05;2.99
Austria;Total;2021-06;1.73
Austria;Total;2021-07;1.19
Austria;Total;2021-08;0.4
Austria;Total;2021-09;-0.86
Austria;Total;2021-10;1.89
Austria;Total;2021-11;1.25
Austria;Total;2021-12;0.62
Austria;Total;2021-13;2.59
Austria;Total;2021-14;1.21
Austria;Total;2021-15;1.86
Austria;Total;2021-16;1.85
Austria;Total;2021-17;1.93
Austria;Total;2021-18;1.68
Austria;Total;2021-19;0.82
Austria;Total;2021-20;-0.45
Austria;Total;2021-21;-0.69
Austria;Total;2021-22;1.28
Austria;Total;2021-23;0.54
Austria;Total;2021-24;1.24
Austria;Total;2021-25;2.06
Austria;Total;2021-26;0.09
Austria;Total;2021-27;-0.71
Austria;Total;2021-28;-0.69
Austria;Total;2021-29;1.31
Austria;Total;2021-30;0.31
Austria;Total;2021-31;-0.76
Austria;Total;2021-32;1.8
Austria;Total;2021-33;1.66
