group;week;zscore
Total;2017-13;-1.75
Total;2017-14;-2.77
Total;2017-15;-2.44
Total;2017-16;-2.8
Total;2017-17;1.63
Total;2017-18;1.14
Total;2017-19;1.48
Total;2017-20;1.27
Total;2017-21;0.93
Total;2017-22;-0.37
Total;2017-23;-2.83
Total;2017-24;1.3
Total;2017-25;5.23
Total;2017-26;0.76
Total;2017-27;3.16
Total;2017-28;-0.04
Total;2017-29;1.85
Total;2017-30;0.64
Total;2017-31;3.97
Total;2017-32;1.76
Total;2017-33;0.43
Total;2017-34;0.88
Total;2017-35;-0.42
Total;2017-36;-2.95
Total;2017-37;-1.21
Total;2017-38;0.7
Total;2017-39;1.86
Total;2017-40;1.48
Total;2017-41;2.69
Total;2017-42;0.18
Total;2017-43;-1.41
Total;2017-44;-1.92
Total;2017-45;-1.12
Total;2017-46;1.14
Total;2017-47;1.43
Total;2017-48;1.22
Total;2017-49;4.51
Total;2017-50;6.92
Total;2017-51;7.89
Total;2017-52;11.41
Total;2018-01;16.22
Total;2018-02;13.21
Total;2018-03;12.73
Total;2018-04;9.57
Total;2018-05;8.75
Total;2018-06;10
Total;2018-07;13.48
Total;2018-08;15.87
Total;2018-09;23.03
Total;2018-10;25.03
Total;2018-11;17.58
Total;2018-12;13.23
Total;2018-13;9.93
Total;2018-14;7.37
Total;2018-15;4.94
Total;2018-16;1.38
Total;2018-17;-2.48
Total;2018-18;-2.81
Total;2018-19;-2.1
Total;2018-20;-2.92
Total;2018-21;-0.94
Total;2018-22;0.63
Total;2018-23;-1.03
Total;2018-24;-3.08
Total;2018-25;-0.66
Total;2018-26;2.89
Total;2018-27;3.57
Total;2018-28;0.62
Total;2018-29;3.2
Total;2018-30;7.44
Total;2018-31;11.48
Total;2018-32;7.85
Total;2018-33;0.8
Total;2018-34;0.78
Total;2018-35;-1.58
Total;2018-36;-0.65
Total;2018-37;-1.59
Total;2018-38;-0.23
Total;2018-39;-2.35
Total;2018-40;0.11
Total;2018-41;1.23
Total;2018-42;-2.94
Total;2018-43;-3.1
Total;2018-44;-0.48
Total;2018-45;0.07
Total;2018-46;-2.96
Total;2018-47;-1.83
Total;2018-48;-0.47
Total;2018-49;-0.1
Total;2018-50;-0.95
Total;2018-51;2.34
Total;2018-52;0.96
Total;2019-01;5.42
Total;2019-02;9.07
Total;2019-03;8.7
Total;2019-04;9.29
Total;2019-05;10.28
Total;2019-06;10.56
Total;2019-07;8.84
Total;2019-08;7.64
Total;2019-09;7.54
Total;2019-10;5.13
Total;2019-11;3.28
Total;2019-12;0.04
Total;2019-13;-0.97
Total;2019-14;1.25
Total;2019-15;-0.95
Total;2019-16;1.47
Total;2019-17;1.24
Total;2019-18;-1.01
Total;2019-19;0.17
Total;2019-20;0.8
Total;2019-21;0.9
Total;2019-22;0.43
Total;2019-23;1.39
Total;2019-24;0.82
Total;2019-25;1.45
Total;2019-26;5.7
Total;2019-27;3.63
Total;2019-28;0.8
Total;2019-29;1.31
Total;2019-30;10.92
Total;2019-31;1.7
Total;2019-32;0.9
Total;2019-33;-1.35
Total;2019-34;0.02
Total;2019-35;3.47
Total;2019-36;-2.56
Total;2019-37;-1.32
Total;2019-38;-0.59
Total;2019-39;1.16
Total;2019-40;-0.14
Total;2019-41;1.99
Total;2019-42;1.13
Total;2019-43;0.6
Total;2019-44;0.35
Total;2019-45;0.97
Total;2019-46;2.27
Total;2019-47;2.62
Total;2019-48;1.62
Total;2019-49;2.38
Total;2019-50;3.37
Total;2019-51;4.62
Total;2019-52;1.3
Total;2020-01;4.57
Total;2020-02;7.22
Total;2020-03;4.91
Total;2020-04;3.27
Total;2020-05;5.74
Total;2020-06;2.14
Total;2020-07;2.94
Total;2020-08;-0.42
Total;2020-09;1.63
Total;2020-10;2.7
Total;2020-11;5.91
Total;2020-12;15.84
Total;2020-13;33.37
Total;2020-14;49.54
Total;2020-15;48.33
Total;2020-16;35.62
Total;2020-17;23.28
Total;2020-18;12.91
Total;2020-19;8.61
Total;2020-20;2.76
Total;2020-21;3.37
Total;2020-22;-0.06
Total;2020-23;0.07
Total;2020-24;-1.28
Total;2020-25;-1.48
Total;2020-26;3.36
Total;2020-27;0.24
Total;2020-28;-0.31
Total;2020-29;1.42
Total;2020-30;2.65
Total;2020-31;6.55
Total;2020-32;5.57
Total;2020-33;13.1
Total;2020-34;3.86
Total;2020-35;1.02
Total;2020-36;1.45
Total;2020-37;3.5
Total;2020-38;5.38
Total;2020-39;2.61
Total;2020-40;5.38
Total;2020-41;5.22
Total;2020-42;6.54
Total;2020-43;13.95
Total;2020-44;17.81
Total;2020-45;21.44
Total;2020-46;23.13
Total;2020-47;21.56
Total;2020-48;21.47
Total;2020-49;22.85
Total;2020-50;24.03
Total;2020-51;23.01
Total;2020-52;22.7
Total;2020-53;24.14
Total;2021-01;26.81
Total;2021-02;30.05
