group;week;zscore
Total;2017-15;-2.5
Total;2017-16;-2.8
Total;2017-17;1.67
Total;2017-18;1.23
Total;2017-19;1.54
Total;2017-20;1.28
Total;2017-21;0.91
Total;2017-22;-0.45
Total;2017-23;-2.85
Total;2017-24;1.35
Total;2017-25;5.27
Total;2017-26;0.73
Total;2017-27;3.09
Total;2017-28;-0.18
Total;2017-29;1.76
Total;2017-30;0.57
Total;2017-31;3.9
Total;2017-32;1.73
Total;2017-33;0.36
Total;2017-34;0.74
Total;2017-35;-0.51
Total;2017-36;-3.01
Total;2017-37;-1.17
Total;2017-38;0.57
Total;2017-39;1.8
Total;2017-40;1.53
Total;2017-41;2.64
Total;2017-42;0.19
Total;2017-43;-1.45
Total;2017-44;-1.95
Total;2017-45;-1.22
Total;2017-46;1.06
Total;2017-47;1.39
Total;2017-48;1.19
Total;2017-49;4.54
Total;2017-50;7.06
Total;2017-51;8.09
Total;2017-52;11.7
Total;2018-01;16.56
Total;2018-02;13.51
Total;2018-03;13.05
Total;2018-04;9.86
Total;2018-05;9.11
Total;2018-06;10.28
Total;2018-07;13.86
Total;2018-08;16.33
Total;2018-09;23.7
Total;2018-10;25.7
Total;2018-11;18.15
Total;2018-12;13.68
Total;2018-13;10.29
Total;2018-14;7.78
Total;2018-15;5.14
Total;2018-16;1.55
Total;2018-17;-2.51
Total;2018-18;-2.81
Total;2018-19;-2.18
Total;2018-20;-2.98
Total;2018-21;-1.08
Total;2018-22;0.52
Total;2018-23;-1.2
Total;2018-24;-3.24
Total;2018-25;-0.69
Total;2018-26;2.84
Total;2018-27;3.56
Total;2018-28;0.61
Total;2018-29;3.35
Total;2018-30;7.63
Total;2018-31;11.74
Total;2018-32;7.84
Total;2018-33;0.81
Total;2018-34;0.71
Total;2018-35;-1.67
Total;2018-36;-0.75
Total;2018-37;-1.75
Total;2018-38;-0.24
Total;2018-39;-2.38
Total;2018-40;0.16
Total;2018-41;1.27
Total;2018-42;-3.01
Total;2018-43;-3.16
Total;2018-44;-0.47
Total;2018-45;0.1
Total;2018-46;-3.05
Total;2018-47;-1.92
Total;2018-48;-0.43
Total;2018-49;-0.03
Total;2018-50;-0.88
Total;2018-51;2.4
Total;2018-52;1.22
Total;2019-01;5.79
Total;2019-02;9.35
Total;2019-03;9.05
Total;2019-04;9.63
Total;2019-05;10.62
Total;2019-06;10.94
Total;2019-07;9.1
Total;2019-08;7.84
Total;2019-09;7.75
Total;2019-10;5.33
Total;2019-11;3.54
Total;2019-12;0.08
Total;2019-13;-0.9
Total;2019-14;1.32
Total;2019-15;-0.89
Total;2019-16;1.54
Total;2019-17;1.26
Total;2019-18;-0.86
Total;2019-19;0.16
Total;2019-20;0.81
Total;2019-21;0.8
Total;2019-22;0.33
Total;2019-23;1.51
Total;2019-24;0.73
Total;2019-25;1.41
Total;2019-26;5.67
Total;2019-27;3.64
Total;2019-28;0.81
Total;2019-29;1.31
Total;2019-30;11.12
Total;2019-31;1.62
Total;2019-32;0.92
Total;2019-33;-1.46
Total;2019-34;0.04
Total;2019-35;3.49
Total;2019-36;-2.6
Total;2019-37;-1.33
Total;2019-38;-0.54
Total;2019-39;1.25
Total;2019-40;-0.03
Total;2019-41;2.21
Total;2019-42;1.23
Total;2019-43;0.75
Total;2019-44;0.52
Total;2019-45;0.98
Total;2019-46;2.34
Total;2019-47;2.65
Total;2019-48;1.67
Total;2019-49;2.56
Total;2019-50;3.5
Total;2019-51;4.84
Total;2019-52;1.45
Total;2020-01;4.72
Total;2020-02;7.44
Total;2020-03;5.08
Total;2020-04;3.38
Total;2020-05;5.93
Total;2020-06;2.34
Total;2020-07;3.13
Total;2020-08;-0.27
Total;2020-09;1.75
Total;2020-10;2.91
Total;2020-11;6.17
Total;2020-12;16.27
Total;2020-13;34.07
Total;2020-14;50.5
Total;2020-15;49.35
Total;2020-16;36.32
Total;2020-17;23.86
Total;2020-18;13.36
Total;2020-19;8.86
Total;2020-20;3.01
Total;2020-21;3.39
Total;2020-22;-0.02
Total;2020-23;0.09
Total;2020-24;-1.24
Total;2020-25;-1.32
Total;2020-26;3.5
Total;2020-27;0.31
Total;2020-28;-0.33
Total;2020-29;1.53
Total;2020-30;2.69
Total;2020-31;6.67
Total;2020-32;5.62
Total;2020-33;13.3
Total;2020-34;4
Total;2020-35;1.06
Total;2020-36;1.48
Total;2020-37;3.78
Total;2020-38;5.56
Total;2020-39;2.82
Total;2020-40;5.46
Total;2020-41;5.29
Total;2020-42;6.78
Total;2020-43;14.27
Total;2020-44;18.28
Total;2020-45;21.85
Total;2020-46;23.55
Total;2020-47;22.08
Total;2020-48;21.99
Total;2020-49;23.42
Total;2020-50;24.61
Total;2020-51;23.63
Total;2020-52;23.29
Total;2020-53;24.81
Total;2021-01;27.48
Total;2021-02;30.79
Total;2021-03;32.71
Total;2021-04;26.99
Total;2021-05;19.12
Total;2021-06;13.4
Total;2021-07;10.37
Total;2021-08;3.59
Total;2021-09;0.74
Total;2021-10;2.39
Total;2021-11;2.31
Total;2021-12;2.92
Total;2021-13;4.73
Total;2021-14;4.99
Total;2021-15;5.28
Total;2021-16;6.08
Total;2021-17;5.48
Total;2021-18;6.07
Total;2021-19;2.5
Total;2021-20;0.82
Total;2021-21;-0.07
Total;2021-22;2.11
Total;2021-23;0.84
Total;2021-24;4.28
Total;2021-25;1.62
Total;2021-26;3.42
Total;2021-27;3.52
Total;2021-28;5.18
Total;2021-29;8.91
Total;2021-30;7.24
Total;2021-31;8.67
Total;2021-32;10.37
Total;2021-33;8.93
Total;2021-34;6.67
Total;2021-35;7.43
Total;2021-36;11.7
Total;2021-37;6.45
Total;2021-38;4.95
Total;2021-39;5.83
Total;2021-40;5.57
Total;2021-41;7.81
Total;2021-42;9.52
Total;2021-43;11.65
Total;2021-44;10.92
Total;2021-45;13.9
Total;2021-46;14.77
Total;2021-47;17.53
Total;2021-48;21.73
Total;2021-49;20.26
Total;2021-50;16.25
Total;2021-51;16.02
Total;2021-52;15.41
Total;2022-01;11.88
Total;2022-02;10.45
Total;2022-03;10.1
Total;2022-04;12.32
Total;2022-05;13.44
Total;2022-06;9.88
Total;2022-07;9.47
Total;2022-08;5.56
Total;2022-09;5.55
Total;2022-10;6.62
Total;2022-11;7.02
Total;2022-12;4.08
Total;2022-13;-6.68
0to14;2017-15;1.65
0to14;2017-16;0.51
0to14;2017-17;1.39
0to14;2017-18;1.87
0to14;2017-19;-1.51
0to14;2017-20;0.1
0to14;2017-21;-0.9
0to14;2017-22;-0.14
0to14;2017-23;1.61
0to14;2017-24;2.52
0to14;2017-25;-0.98
0to14;2017-26;1.25
0to14;2017-27;1.58
0to14;2017-28;-0.28
0to14;2017-29;1.02
0to14;2017-30;-0.03
0to14;2017-31;-0.21
0to14;2017-32;-0.3
0to14;2017-33;0.86
0to14;2017-34;-1.48
0to14;2017-35;0.58
0to14;2017-36;-1.62
0to14;2017-37;-0.53
0to14;2017-38;0.3
0to14;2017-39;-0.54
0to14;2017-40;0.52
0to14;2017-41;0.05
0to14;2017-42;0.05
0to14;2017-43;0.73
0to14;2017-44;-1.71
0to14;2017-45;-1
0to14;2017-46;1.02
0to14;2017-47;2.22
0to14;2017-48;-1.21
0to14;2017-49;0.68
0to14;2017-50;1.35
0to14;2017-51;0.26
0to14;2017-52;2.7
0to14;2018-01;0.3
0to14;2018-02;1.42
0to14;2018-03;-0.88
0to14;2018-04;-0.5
0to14;2018-05;-0.4
0to14;2018-06;0.47
0to14;2018-07;0.21
0to14;2018-08;-0.64
0to14;2018-09;1.06
0to14;2018-10;0.76
0to14;2018-11;0.47
0to14;2018-12;-0.25
0to14;2018-13;2.09
0to14;2018-14;0.12
0to14;2018-15;0.1
0to14;2018-16;1.27
0to14;2018-17;-1.08
0to14;2018-18;-1.35
0to14;2018-19;-0.71
0to14;2018-20;-0.03
0to14;2018-21;-0.34
0to14;2018-22;-1.56
0to14;2018-23;1.41
0to14;2018-24;-0.1
0to14;2018-25;-0.32
0to14;2018-26;0.07
0to14;2018-27;1.7
0to14;2018-28;0.93
0to14;2018-29;0.71
0to14;2018-30;1.72
0to14;2018-31;0.21
0to14;2018-32;1.55
0to14;2018-33;-0.77
0to14;2018-34;0.82
0to14;2018-35;-2.51
0to14;2018-36;-1.88
0to14;2018-37;1.6
0to14;2018-38;2.37
0to14;2018-39;-1.31
0to14;2018-40;0.21
0to14;2018-41;1.63
0to14;2018-42;1.35
0to14;2018-43;-1.38
0to14;2018-44;-0.95
0to14;2018-45;1.82
0to14;2018-46;1.08
0to14;2018-47;1.26
0to14;2018-48;0.52
0to14;2018-49;0.88
0to14;2018-50;0.87
0to14;2018-51;1.36
0to14;2018-52;-1.22
0to14;2019-01;1.76
0to14;2019-02;1.76
0to14;2019-03;1.76
0to14;2019-04;-0.04
0to14;2019-05;2.52
0to14;2019-06;1.74
0to14;2019-07;2.37
0to14;2019-08;1.99
0to14;2019-09;1.34
0to14;2019-10;0.63
0to14;2019-11;0.19
0to14;2019-12;-0.53
0to14;2019-13;-0.65
0to14;2019-14;0.53
0to14;2019-15;1.96
0to14;2019-16;-0.97
0to14;2019-17;0.22
0to14;2019-18;0.71
0to14;2019-19;-2.07
0to14;2019-20;-0.56
0to14;2019-21;0.44
0to14;2019-22;-1.19
0to14;2019-23;0.89
0to14;2019-24;-0.49
0to14;2019-25;0.09
0to14;2019-26;0.24
0to14;2019-27;-0.03
0to14;2019-28;1.1
0to14;2019-29;-1.15
0to14;2019-30;1.75
0to14;2019-31;2.44
0to14;2019-32;-0.85
0to14;2019-33;0.25
0to14;2019-34;1.68
0to14;2019-35;0.34
0to14;2019-36;-1.08
0to14;2019-37;-0.27
0to14;2019-38;1.49
0to14;2019-39;-1.13
0to14;2019-40;0.7
0to14;2019-41;-0.71
0to14;2019-42;-0.39
0to14;2019-43;0.77
0to14;2019-44;-1.98
0to14;2019-45;-0.12
0to14;2019-46;0.93
0to14;2019-47;0.65
0to14;2019-48;1.64
0to14;2019-49;2.03
0to14;2019-50;2.82
0to14;2019-51;1.39
0to14;2019-52;1.75
0to14;2020-01;-0.02
0to14;2020-02;0.62
0to14;2020-03;0.58
0to14;2020-04;1.7
0to14;2020-05;1.49
0to14;2020-06;0.73
0to14;2020-07;0.02
0to14;2020-08;0.89
0to14;2020-09;-0.28
0to14;2020-10;0.29
0to14;2020-11;0.85
0to14;2020-12;0.92
0to14;2020-13;1.39
