group;week;Low normal range;High normal range;Baseline;Substantial increase;Observed count
Total;2017-16;67512.09;70106.65;68805.29;71416.11;66962
Total;2017-17;66852.83;69415.35;68130.07;70708.61;69158
Total;2017-18;66196.72;68732.43;67460.61;70012.15;68217
Total;2017-19;65553.25;68067.66;66806.51;69336.64;67753
Total;2017-20;64931.69;67430;66176.92;68690.9;66974
Total;2017-21;64340.66;66827.83;65580.32;68083.16;66145
Total;2017-22;63788.33;66268.66;65024.56;67520.6;64734
Total;2017-23;63282.21;65759.17;64516.73;67009.49;62769
Total;2017-24;62828.98;65305.27;64063.14;66555.33;64912
Total;2017-25;62434.5;64912.18;63669.32;66163.01;66975
Total;2017-26;62104.1;64583.88;63339.94;65835.85;63812
Total;2017-27;61841.79;64324.11;63078.88;65577.43;65026
Total;2017-28;61650.93;64135.63;62889.19;65390.21;62809
Total;2017-29;61534.03;64020.32;62773.07;65275.72;63889
Total;2017-30;61492.54;63979.54;62731.93;65235.32;63114
Total;2017-31;61527.21;64013.73;62766.36;65269.25;65214
Total;2017-32;61637.7;64122.72;62876.12;65377.45;63966
Total;2017-33;61822.86;64305.58;63060.15;65559.1;63311
Total;2017-34;62080.63;64560.58;63316.56;65812.64;63799
Total;2017-35;62408.04;64885.33;63642.66;66135.97;63349
Total;2017-36;62801.2;65276.56;64034.89;66526.16;62227
Total;2017-37;63255.36;65730.31;64488.87;66979.61;63772
Total;2017-38;63764.88;66241.74;64999.37;67491.91;65389
Total;2017-39;64323.27;66805.26;65560.35;68057.94;66712
Total;2017-40;64923.33;67414.36;66164.94;68671.56;67133
Total;2017-41;65557.01;68061.85;66805.52;69325.97;68438
Total;2017-42;66215.74;68739.58;67473.73;70013.25;67592
Total;2017-43;66890.4;69438.68;68160.57;70724.69;67230
Total;2017-44;67571.44;70149.64;68856.52;71450.76;67584
Total;2017-45;68249.05;70862.27;69551.57;72181.11;68738
Total;2017-46;68913.34;71565.92;70235.46;72904.67;70898
Total;2017-47;69554.34;72249.77;70897.79;73610.24;71800
Total;2017-48;70162.4;72902.71;71528.18;74285.94;72290
Total;2017-49;70728.16;73513.95;72116.57;74920.24;75234
Total;2017-50;71242.79;74073.04;72653.32;75501.88;77636
Total;2017-51;71698.09;74570.2;73129.45;76020.3;78936
Total;2017-52;72086.94;74996.48;73536.91;76465.57;82101
Total;2018-01;72402.94;75344.21;73868.69;76829.41;86241
Total;2018-02;72641.08;75606.96;74119.08;77104.67;84270
Total;2018-03;72797.4;75780;74283.71;77286.2;84104
Total;2018-04;72869.57;75860.07;74359.81;77370.29;81756
