"12ng -- Kuolleet viikoittain sukupuolen, iän ja maakunnan mukaan (Pikaennakko), 1990W01-2022W45*"

"Alue";"Viikko";"Yhteensä Yhteensä Kuolleet";"Yhteensä Miehet Kuolleet";"Yhteensä Naiset Kuolleet";"0 - 4 Yhteensä Kuolleet";"0 - 4 Miehet Kuolleet";"0 - 4 Naiset Kuolleet";"5 - 9 Yhteensä Kuolleet";"5 - 9 Miehet Kuolleet";"5 - 9 Naiset Kuolleet";"10 - 14 Yhteensä Kuolleet";"10 - 14 Miehet Kuolleet";"10 - 14 Naiset Kuolleet";"15 - 19 Yhteensä Kuolleet";"15 - 19 Miehet Kuolleet";"15 - 19 Naiset Kuolleet";"20 - 24 Yhteensä Kuolleet";"20 - 24 Miehet Kuolleet";"20 - 24 Naiset Kuolleet";"25 - 29 Yhteensä Kuolleet";"25 - 29 Miehet Kuolleet";"25 - 29 Naiset Kuolleet";"30 - 34 Yhteensä Kuolleet";"30 - 34 Miehet Kuolleet";"30 - 34 Naiset Kuolleet";"35 - 39 Yhteensä Kuolleet";"35 - 39 Miehet Kuolleet";"35 - 39 Naiset Kuolleet";"40 - 44 Yhteensä Kuolleet";"40 - 44 Miehet Kuolleet";"40 - 44 Naiset Kuolleet";"45 - 49 Yhteensä Kuolleet";"45 - 49 Miehet Kuolleet";"45 - 49 Naiset Kuolleet";"50 - 54 Yhteensä Kuolleet";"50 - 54 Miehet Kuolleet";"50 - 54 Naiset Kuolleet";"55 - 59 Yhteensä Kuolleet";"55 - 59 Miehet Kuolleet";"55 - 59 Naiset Kuolleet";"60 - 64 Yhteensä Kuolleet";"60 - 64 Miehet Kuolleet";"60 - 64 Naiset Kuolleet";"65 - 69 Yhteensä Kuolleet";"65 - 69 Miehet Kuolleet";"65 - 69 Naiset Kuolleet";"70 - 74 Yhteensä Kuolleet";"70 - 74 Miehet Kuolleet";"70 - 74 Naiset Kuolleet";"75 - 79 Yhteensä Kuolleet";"75 - 79 Miehet Kuolleet";"75 - 79 Naiset Kuolleet";"80 - 84 Yhteensä Kuolleet";"80 - 84 Miehet Kuolleet";"80 - 84 Naiset Kuolleet";"85 - 89 Yhteensä Kuolleet";"85 - 89 Miehet Kuolleet";"85 - 89 Naiset Kuolleet";"90 - Yhteensä Kuolleet";"90 - Miehet Kuolleet";"90 - Naiset Kuolleet"
"MK13 Keski-Suomi";"1990W01";69;36;33;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;1;0;0;0;0;5;4;1;1;0;1;8;7;1;10;7;3;7;6;1;12;0;12;12;5;7;8;3;5;2;1;1
"MK13 Keski-Suomi";"1990W02";58;29;29;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;1;0;1;0;0;0;2;1;1;2;1;1;1;1;0;5;5;0;9;5;4;6;2;4;17;4;13;8;3;5;4;4;0
"MK13 Keski-Suomi";"1990W03";58;28;30;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;2;0;1;1;0;2;1;1;4;2;2;1;1;0;5;1;4;5;2;3;8;4;4;12;8;4;11;4;7;4;1;3
"MK13 Keski-Suomi";"1990W04";68;38;30;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2;2;0;1;1;0;2;2;0;2;2;0;0;0;0;3;2;1;8;6;2;4;1;3;12;8;4;7;4;3;13;5;8;11;4;7;2;1;1
"MK13 Keski-Suomi";"1990W05";64;35;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3;2;1;0;0;0;4;2;2;0;0;0;0;0;0;3;2;1;6;6;0;13;8;5;1;1;0;10;6;4;10;2;8;7;4;3;6;1;5
"MK13 Keski-Suomi";"1990W06";52;27;25;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;2;2;0;1;1;0;6;4;2;3;2;1;7;3;4;10;5;5;10;4;6;9;3;6;1;1;0
"MK13 Keski-Suomi";"1990W07";58;27;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;0;0;0;1;0;1;1;1;0;2;2;0;7;5;2;7;3;4;9;4;5;10;4;6;7;3;4;5;2;3;7;2;5
"MK13 Keski-Suomi";"1990W08";56;29;27;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;3;3;0;1;1;0;0;0;0;5;4;1;1;1;0;8;3;5;5;0;5;11;6;5;13;6;7;4;0;4;2;2;0
"MK13 Keski-Suomi";"1990W09";52;15;37;2;0;2;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;1;0;1;1;0;0;0;0;2;1;1;1;1;0;2;2;0;2;1;1;3;2;1;6;2;4;10;2;8;6;0;6;9;1;8;5;0;5
"MK13 Keski-Suomi";"1990W10";59;29;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;3;3;0;4;4;0;5;3;2;9;5;4;16;7;9;11;3;8;6;1;5;3;2;1
"MK13 Keski-Suomi";"1990W11";41;16;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;1;1;0;0;0;0;0;0;2;2;0;2;1;1;0;0;0;1;0;1;3;3;0;6;3;3;4;1;3;9;2;7;5;1;4;5;0;5
"MK13 Keski-Suomi";"1990W12";40;17;23;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;2;2;0;0;0;0;0;0;0;0;0;0;2;1;1;2;1;1;2;1;1;9;1;8;10;5;5;7;3;4;2;1;1;1;0;1
"MK13 Keski-Suomi";"1990W13";50;25;25;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3;2;1;1;1;0;0;0;0;1;1;0;3;1;2;1;0;1;2;1;1;4;4;0;5;4;1;3;2;1;18;6;12;2;1;1;6;2;4;0;0;0
"MK13 Keski-Suomi";"1990W14";55;23;32;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;1;2;2;0;1;1;0;6;5;1;3;2;1;8;6;2;3;1;2;11;2;9;7;1;6;5;2;3;5;0;5
"MK13 Keski-Suomi";"1990W15";48;28;20;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1;1;0;2;2;0;2;2;0;4;2;2;1;0;1;9;5;4;8;4;4;8;5;3;4;2;2;6;3;3
"MK13 Keski-Suomi";"1990W16";56;27;29;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;1;0;1;0;0;0;3;2;1;5;3;2;6;4;2;6;1;5;7;6;1;6;4;2;7;2;5;6;2;4;6;2;4
"MK13 Keski-Suomi";"1990W17";50;26;24;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;1;0;1;0;0;0;1;1;0;3;3;0;3;2;1;6;2;4;5;4;1;11;4;7;7;5;2;6;1;5;4;2;2
"MK13 Keski-Suomi";"1990W18";42;27;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1;1;0;2;2;0;2;2;0;3;3;0;1;1;0;6;5;1;9;5;4;4;2;2;7;3;4;3;1;2;2;0;2
"MK13 Keski-Suomi";"1990W19";45;29;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;1;0;1;2;2;0;1;0;1;4;4;0;3;2;1;6;5;1;8;6;2;4;3;1;6;2;4;5;3;2;3;0;3
