"12ng -- Kuolleet viikoittain sukupuolen, iän ja maakunnan mukaan (Pikaennakko), 1990W01-2022W45*"

"Alue";"Viikko";"Yhteensä Yhteensä Kuolleet";"Yhteensä Miehet Kuolleet";"Yhteensä Naiset Kuolleet";"0 - 4 Yhteensä Kuolleet";"0 - 4 Miehet Kuolleet";"0 - 4 Naiset Kuolleet";"5 - 9 Yhteensä Kuolleet";"5 - 9 Miehet Kuolleet";"5 - 9 Naiset Kuolleet";"10 - 14 Yhteensä Kuolleet";"10 - 14 Miehet Kuolleet";"10 - 14 Naiset Kuolleet";"15 - 19 Yhteensä Kuolleet";"15 - 19 Miehet Kuolleet";"15 - 19 Naiset Kuolleet";"20 - 24 Yhteensä Kuolleet";"20 - 24 Miehet Kuolleet";"20 - 24 Naiset Kuolleet";"25 - 29 Yhteensä Kuolleet";"25 - 29 Miehet Kuolleet";"25 - 29 Naiset Kuolleet";"30 - 34 Yhteensä Kuolleet";"30 - 34 Miehet Kuolleet";"30 - 34 Naiset Kuolleet";"35 - 39 Yhteensä Kuolleet";"35 - 39 Miehet Kuolleet";"35 - 39 Naiset Kuolleet";"40 - 44 Yhteensä Kuolleet";"40 - 44 Miehet Kuolleet";"40 - 44 Naiset Kuolleet";"45 - 49 Yhteensä Kuolleet";"45 - 49 Miehet Kuolleet";"45 - 49 Naiset Kuolleet";"50 - 54 Yhteensä Kuolleet";"50 - 54 Miehet Kuolleet";"50 - 54 Naiset Kuolleet";"55 - 59 Yhteensä Kuolleet";"55 - 59 Miehet Kuolleet";"55 - 59 Naiset Kuolleet";"60 - 64 Yhteensä Kuolleet";"60 - 64 Miehet Kuolleet";"60 - 64 Naiset Kuolleet";"65 - 69 Yhteensä Kuolleet";"65 - 69 Miehet Kuolleet";"65 - 69 Naiset Kuolleet";"70 - 74 Yhteensä Kuolleet";"70 - 74 Miehet Kuolleet";"70 - 74 Naiset Kuolleet";"75 - 79 Yhteensä Kuolleet";"75 - 79 Miehet Kuolleet";"75 - 79 Naiset Kuolleet";"80 - 84 Yhteensä Kuolleet";"80 - 84 Miehet Kuolleet";"80 - 84 Naiset Kuolleet";"85 - 89 Yhteensä Kuolleet";"85 - 89 Miehet Kuolleet";"85 - 89 Naiset Kuolleet";"90 - Yhteensä Kuolleet";"90 - Miehet Kuolleet";"90 - Naiset Kuolleet"
"MK08 Kymenlaakso";"1990W01";58;24;34;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;2;1;1;1;1;0;1;1;0;2;1;1;5;3;2;4;3;1;7;3;4;16;5;11;12;3;9;4;1;3;2;0;2
"MK08 Kymenlaakso";"1990W02";46;21;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;1;1;0;3;2;1;0;0;0;3;0;3;6;5;1;11;4;7;6;1;5;6;2;4;7;4;3;1;0;1
"MK08 Kymenlaakso";"1990W03";49;27;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;1;1;0;2;2;0;0;0;0;0;0;0;1;1;0;5;3;2;6;2;4;4;3;1;9;5;4;10;7;3;5;1;4;4;1;3
"MK08 Kymenlaakso";"1990W04";62;28;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;3;3;0;0;0;0;1;1;0;2;1;1;4;2;2;4;1;3;6;2;4;19;11;8;6;2;4;8;3;5;8;2;6
"MK08 Kymenlaakso";"1990W05";56;28;28;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;1;1;0;1;0;1;1;1;0;2;2;0;6;4;2;5;4;1;5;2;3;8;4;4;9;4;5;12;4;8;3;0;3
"MK08 Kymenlaakso";"1990W06";42;19;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;2;2;0;1;1;0;1;0;1;2;2;0;3;2;1;5;4;1;6;2;4;10;1;9;7;3;4;3;0;3
"MK08 Kymenlaakso";"1990W07";60;28;32;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;1;3;1;2;2;2;0;1;1;0;2;2;0;6;5;1;4;2;2;6;3;3;9;2;7;11;4;7;8;3;5;6;3;3
"MK08 Kymenlaakso";"1990W08";39;20;19;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;1;1;0;2;1;1;0;0;0;2;2;0;0;0;0;8;5;3;5;5;0;4;1;3;5;1;4;5;1;4;4;1;3;1;1;0
"MK08 Kymenlaakso";"1990W09";37;13;24;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;1;1;0;0;0;0;2;2;0;3;1;2;4;2;2;2;1;1;6;1;5;6;2;4;8;1;7;2;0;2
"MK08 Kymenlaakso";"1990W10";38;21;17;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;2;2;0;1;1;0;1;1;0;2;2;0;0;0;0;1;0;1;9;5;4;3;2;1;6;5;1;7;2;5;4;1;3
