"12ng -- Kuolleet viikoittain sukupuolen, iän ja maakunnan mukaan (Pikaennakko), 1990W01-2022W45*"

"Alue";"Viikko";"Yhteensä Yhteensä Kuolleet";"Yhteensä Miehet Kuolleet";"Yhteensä Naiset Kuolleet";"0 - 4 Yhteensä Kuolleet";"0 - 4 Miehet Kuolleet";"0 - 4 Naiset Kuolleet";"5 - 9 Yhteensä Kuolleet";"5 - 9 Miehet Kuolleet";"5 - 9 Naiset Kuolleet";"10 - 14 Yhteensä Kuolleet";"10 - 14 Miehet Kuolleet";"10 - 14 Naiset Kuolleet";"15 - 19 Yhteensä Kuolleet";"15 - 19 Miehet Kuolleet";"15 - 19 Naiset Kuolleet";"20 - 24 Yhteensä Kuolleet";"20 - 24 Miehet Kuolleet";"20 - 24 Naiset Kuolleet";"25 - 29 Yhteensä Kuolleet";"25 - 29 Miehet Kuolleet";"25 - 29 Naiset Kuolleet";"30 - 34 Yhteensä Kuolleet";"30 - 34 Miehet Kuolleet";"30 - 34 Naiset Kuolleet";"35 - 39 Yhteensä Kuolleet";"35 - 39 Miehet Kuolleet";"35 - 39 Naiset Kuolleet";"40 - 44 Yhteensä Kuolleet";"40 - 44 Miehet Kuolleet";"40 - 44 Naiset Kuolleet";"45 - 49 Yhteensä Kuolleet";"45 - 49 Miehet Kuolleet";"45 - 49 Naiset Kuolleet";"50 - 54 Yhteensä Kuolleet";"50 - 54 Miehet Kuolleet";"50 - 54 Naiset Kuolleet";"55 - 59 Yhteensä Kuolleet";"55 - 59 Miehet Kuolleet";"55 - 59 Naiset Kuolleet";"60 - 64 Yhteensä Kuolleet";"60 - 64 Miehet Kuolleet";"60 - 64 Naiset Kuolleet";"65 - 69 Yhteensä Kuolleet";"65 - 69 Miehet Kuolleet";"65 - 69 Naiset Kuolleet";"70 - 74 Yhteensä Kuolleet";"70 - 74 Miehet Kuolleet";"70 - 74 Naiset Kuolleet";"75 - 79 Yhteensä Kuolleet";"75 - 79 Miehet Kuolleet";"75 - 79 Naiset Kuolleet";"80 - 84 Yhteensä Kuolleet";"80 - 84 Miehet Kuolleet";"80 - 84 Naiset Kuolleet";"85 - 89 Yhteensä Kuolleet";"85 - 89 Miehet Kuolleet";"85 - 89 Naiset Kuolleet";"90 - Yhteensä Kuolleet";"90 - Miehet Kuolleet";"90 - Naiset Kuolleet"
"MK06 Pirkanmaa";"1990W01";99;53;46;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;1;1;0;3;1;2;2;2;0;0;0;0;4;4;0;5;2;3;6;6;0;10;5;5;21;12;9;15;6;9;21;8;13;8;3;5
"MK06 Pirkanmaa";"1990W02";107;54;53;0;0;0;0;0;0;0;0;0;3;3;0;1;0;1;1;1;0;0;0;0;1;1;0;2;1;1;1;1;0;2;2;0;4;2;2;13;8;5;9;6;3;7;4;3;21;13;8;26;8;18;12;3;9;4;1;3
"MK06 Pirkanmaa";"1990W03";88;40;48;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;3;2;1;0;0;0;4;3;1;6;3;3;5;4;1;5;2;3;8;4;4;16;7;9;13;5;8;20;9;11;7;0;7
"MK06 Pirkanmaa";"1990W04";111;61;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;4;4;0;3;3;0;2;0;2;3;2;1;7;6;1;6;5;1;15;9;6;21;13;8;19;9;10;19;5;14;11;4;7
"MK06 Pirkanmaa";"1990W05";92;43;49;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;0;0;0;0;2;2;0;3;1;2;2;2;0;8;5;3;12;6;6;20;11;9;16;9;7;16;3;13;8;1;7
"MK06 Pirkanmaa";"1990W06";109;48;61;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;4;3;1;1;0;1;1;1;0;5;2;3;5;4;1;10;3;7;7;2;5;10;4;6;24;14;10;14;5;9;14;4;10;10;3;7
"MK06 Pirkanmaa";"1990W07";78;41;37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;3;2;1;3;3;0;3;1;2;6;5;1;11;7;4;13;7;6;10;4;6;17;8;9;10;2;8
"MK06 Pirkanmaa";"1990W08";101;44;57;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;2;2;0;2;2;0;3;1;2;1;0;1;1;0;1;4;4;0;10;7;3;9;4;5;11;5;6;17;6;11;21;7;14;9;3;6;9;1;8
"MK06 Pirkanmaa";"1990W09";84;40;44;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;3;1;2;2;2;0;1;0;1;5;2;3;8;6;2;8;5;3;8;5;3;11;5;6;14;5;9;13;5;8;7;0;7
"MK06 Pirkanmaa";"1990W10";96;43;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;0;0;0;2;1;1;3;2;1;5;4;1;6;4;2;5;4;1;13;5;8;21;8;13;13;4;9;17;7;10;9;2;7
"MK06 Pirkanmaa";"1990W11";89;43;46;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;1;1;0;2;1;1;6;4;2;4;4;0;3;2;1;6;4;2;5;4;1;14;7;7;16;4;12;14;5;9;7;2;5;8;2;6
"MK06 Pirkanmaa";"1990W12";84;38;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;2;2;0;2;2;0;3;1;2;3;3;0;4;3;1;6;5;1;8;2;6;8;3;5;13;5;8;16;4;12;10;5;5;7;1;6
"MK06 Pirkanmaa";"1990W13";85;35;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;2;0;1;0;1;4;3;1;0;0;0;8;5;3;4;3;1;6;4;2;7;1;6;15;7;8;23;7;16;11;2;9;3;0;3
"MK06 Pirkanmaa";"1990W14";89;43;46;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;3;3;0;2;2;0;1;0;1;3;2;1;5;5;0;9;7;2;12;6;6;13;9;4;20;5;15;10;1;9;10;3;7
"MK06 Pirkanmaa";"1990W15";86;47;39;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;1;2;2;0;3;0;3;3;3;0;4;3;1;8;7;1;8;6;2;14;6;8;8;4;4;18;9;9;9;2;7;4;1;3
"MK06 Pirkanmaa";"1990W16";89;41;48;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;3;2;1;0;0;0;4;4;0;5;3;2;3;1;2;9;4;5;14;8;6;10;6;4;21;7;14;10;3;7;7;0;7
