"12ng -- Kuolleet viikoittain sukupuolen, iän ja maakunnan mukaan (Pikaennakko), 1990W01-2022W45*"

"Alue";"Viikko";"Yhteensä Yhteensä Kuolleet";"Yhteensä Miehet Kuolleet";"Yhteensä Naiset Kuolleet";"0 - 4 Yhteensä Kuolleet";"0 - 4 Miehet Kuolleet";"0 - 4 Naiset Kuolleet";"5 - 9 Yhteensä Kuolleet";"5 - 9 Miehet Kuolleet";"5 - 9 Naiset Kuolleet";"10 - 14 Yhteensä Kuolleet";"10 - 14 Miehet Kuolleet";"10 - 14 Naiset Kuolleet";"15 - 19 Yhteensä Kuolleet";"15 - 19 Miehet Kuolleet";"15 - 19 Naiset Kuolleet";"20 - 24 Yhteensä Kuolleet";"20 - 24 Miehet Kuolleet";"20 - 24 Naiset Kuolleet";"25 - 29 Yhteensä Kuolleet";"25 - 29 Miehet Kuolleet";"25 - 29 Naiset Kuolleet";"30 - 34 Yhteensä Kuolleet";"30 - 34 Miehet Kuolleet";"30 - 34 Naiset Kuolleet";"35 - 39 Yhteensä Kuolleet";"35 - 39 Miehet Kuolleet";"35 - 39 Naiset Kuolleet";"40 - 44 Yhteensä Kuolleet";"40 - 44 Miehet Kuolleet";"40 - 44 Naiset Kuolleet";"45 - 49 Yhteensä Kuolleet";"45 - 49 Miehet Kuolleet";"45 - 49 Naiset Kuolleet";"50 - 54 Yhteensä Kuolleet";"50 - 54 Miehet Kuolleet";"50 - 54 Naiset Kuolleet";"55 - 59 Yhteensä Kuolleet";"55 - 59 Miehet Kuolleet";"55 - 59 Naiset Kuolleet";"60 - 64 Yhteensä Kuolleet";"60 - 64 Miehet Kuolleet";"60 - 64 Naiset Kuolleet";"65 - 69 Yhteensä Kuolleet";"65 - 69 Miehet Kuolleet";"65 - 69 Naiset Kuolleet";"70 - 74 Yhteensä Kuolleet";"70 - 74 Miehet Kuolleet";"70 - 74 Naiset Kuolleet";"75 - 79 Yhteensä Kuolleet";"75 - 79 Miehet Kuolleet";"75 - 79 Naiset Kuolleet";"80 - 84 Yhteensä Kuolleet";"80 - 84 Miehet Kuolleet";"80 - 84 Naiset Kuolleet";"85 - 89 Yhteensä Kuolleet";"85 - 89 Miehet Kuolleet";"85 - 89 Naiset Kuolleet";"90 - Yhteensä Kuolleet";"90 - Miehet Kuolleet";"90 - Naiset Kuolleet"
"MK17 Pohjois-Pohjanmaa";"1990W01";71;41;30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;2;2;0;1;1;0;6;4;2;3;3;0;7;4;3;6;2;4;4;3;1;14;7;7;12;7;5;4;2;2;9;3;6
"MK17 Pohjois-Pohjanmaa";"1990W02";69;37;32;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;2;0;2;2;0;1;1;0;1;1;0;2;2;0;7;4;3;4;4;0;9;3;6;3;1;2;10;3;7;15;8;7;7;3;4;5;2;3
"MK17 Pohjois-Pohjanmaa";"1990W03";71;33;38;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;2;0;1;0;1;4;2;2;5;3;2;7;3;4;9;4;5;13;8;5;7;4;3;8;2;6;9;4;5;5;1;4
"MK17 Pohjois-Pohjanmaa";"1990W04";73;40;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;4;4;0;6;3;3;3;3;0;6;5;1;6;3;3;3;3;0;13;7;6;21;8;13;4;1;3;4;0;4
"MK17 Pohjois-Pohjanmaa";"1990W05";82;40;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;2;2;0;3;0;3;3;2;1;7;3;4;10;7;3;8;6;2;18;11;7;12;3;9;11;2;9;6;2;4
"MK17 Pohjois-Pohjanmaa";"1990W06";85;42;43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;3;1;2;2;2;0;4;3;1;5;5;0;8;5;3;13;7;6;16;5;11;12;7;5;14;4;10;7;3;4
"MK17 Pohjois-Pohjanmaa";"1990W07";52;24;28;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;6;4;2;0;0;0;3;1;2;2;2;0;10;5;5;8;5;3;6;2;4;11;2;9;3;0;3
"MK17 Pohjois-Pohjanmaa";"1990W08";58;28;30;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1;1;0;1;1;0;1;1;0;4;3;1;1;1;0;10;6;4;12;8;4;11;2;9;7;1;6;6;2;4
"MK17 Pohjois-Pohjanmaa";"1990W09";54;29;25;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;0;1;1;0;2;2;0;3;3;0;4;2;2;7;5;2;11;5;6;7;3;4;6;4;2;7;1;6;2;1;1
"MK17 Pohjois-Pohjanmaa";"1990W10";44;22;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;4;3;1;1;1;0;4;2;2;6;2;4;10;6;4;7;3;4;5;2;3;5;1;4
