"12ng -- Kuolleet viikoittain sukupuolen, iän ja maakunnan mukaan (Pikaennakko), 1990W01-2022W45*"

"Alue";"Viikko";"Yhteensä Yhteensä Kuolleet";"Yhteensä Miehet Kuolleet";"Yhteensä Naiset Kuolleet";"0 - 4 Yhteensä Kuolleet";"0 - 4 Miehet Kuolleet";"0 - 4 Naiset Kuolleet";"5 - 9 Yhteensä Kuolleet";"5 - 9 Miehet Kuolleet";"5 - 9 Naiset Kuolleet";"10 - 14 Yhteensä Kuolleet";"10 - 14 Miehet Kuolleet";"10 - 14 Naiset Kuolleet";"15 - 19 Yhteensä Kuolleet";"15 - 19 Miehet Kuolleet";"15 - 19 Naiset Kuolleet";"20 - 24 Yhteensä Kuolleet";"20 - 24 Miehet Kuolleet";"20 - 24 Naiset Kuolleet";"25 - 29 Yhteensä Kuolleet";"25 - 29 Miehet Kuolleet";"25 - 29 Naiset Kuolleet";"30 - 34 Yhteensä Kuolleet";"30 - 34 Miehet Kuolleet";"30 - 34 Naiset Kuolleet";"35 - 39 Yhteensä Kuolleet";"35 - 39 Miehet Kuolleet";"35 - 39 Naiset Kuolleet";"40 - 44 Yhteensä Kuolleet";"40 - 44 Miehet Kuolleet";"40 - 44 Naiset Kuolleet";"45 - 49 Yhteensä Kuolleet";"45 - 49 Miehet Kuolleet";"45 - 49 Naiset Kuolleet";"50 - 54 Yhteensä Kuolleet";"50 - 54 Miehet Kuolleet";"50 - 54 Naiset Kuolleet";"55 - 59 Yhteensä Kuolleet";"55 - 59 Miehet Kuolleet";"55 - 59 Naiset Kuolleet";"60 - 64 Yhteensä Kuolleet";"60 - 64 Miehet Kuolleet";"60 - 64 Naiset Kuolleet";"65 - 69 Yhteensä Kuolleet";"65 - 69 Miehet Kuolleet";"65 - 69 Naiset Kuolleet";"70 - 74 Yhteensä Kuolleet";"70 - 74 Miehet Kuolleet";"70 - 74 Naiset Kuolleet";"75 - 79 Yhteensä Kuolleet";"75 - 79 Miehet Kuolleet";"75 - 79 Naiset Kuolleet";"80 - 84 Yhteensä Kuolleet";"80 - 84 Miehet Kuolleet";"80 - 84 Naiset Kuolleet";"85 - 89 Yhteensä Kuolleet";"85 - 89 Miehet Kuolleet";"85 - 89 Naiset Kuolleet";"90 - Yhteensä Kuolleet";"90 - Miehet Kuolleet";"90 - Naiset Kuolleet"
"MK04 Satakunta";"1990W01";64;34;30;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0;2;2;0;4;4;0;5;4;1;5;4;1;1;1;0;6;2;4;6;5;1;10;4;6;9;2;7;6;1;5;7;2;5
"MK04 Satakunta";"1990W02";63;25;38;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;2;0;0;0;0;1;1;0;3;3;0;0;0;0;11;7;4;4;2;2;6;2;4;15;4;11;10;1;9;5;1;4;3;1;2
"MK04 Satakunta";"1990W03";44;23;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1;0;1;0;0;0;2;2;0;2;2;0;1;1;0;2;2;0;5;1;4;5;3;2;2;0;2;10;6;4;8;3;5;4;1;3
"MK04 Satakunta";"1990W04";57;26;31;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;1;1;0;5;5;0;6;4;2;5;3;2;7;2;5;16;7;9;9;1;8;4;1;3
"MK04 Satakunta";"1990W05";71;30;41;0;0;0;0;0;0;2;1;1;0;0;0;1;1;0;1;1;0;0;0;0;1;1;0;4;3;1;3;3;0;0;0;0;3;2;1;5;2;3;8;4;4;9;4;5;5;2;3;11;5;6;10;1;9;8;0;8
"MK04 Satakunta";"1990W06";52;29;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;2;2;0;2;1;1;4;3;1;6;6;0;9;6;3;5;1;4;11;5;6;7;4;3;5;0;5
"MK04 Satakunta";"1990W07";43;25;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;2;0;2;1;1;0;0;0;3;3;0;1;1;0;5;4;1;8;5;3;7;4;3;8;2;6;4;2;2;2;0;2
"MK04 Satakunta";"1990W08";50;28;22;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;3;2;1;0;0;0;2;2;0;1;1;0;1;0;1;2;1;1;1;0;1;4;4;0;5;3;2;3;2;1;9;5;4;5;3;2;10;3;7;3;1;2
"MK04 Satakunta";"1990W09";45;21;24;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;1;1;0;1;1;0;4;3;1;4;2;2;10;5;5;7;4;3;6;0;6;4;2;2;5;1;4
"MK04 Satakunta";"1990W10";39;19;20;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;2;1;1;1;1;0;1;1;0;0;0;0;1;1;0;2;2;0;0;0;0;4;4;0;6;3;3;4;0;4;7;2;5;3;2;1;4;0;4;1;0;1
"MK04 Satakunta";"1990W11";51;35;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;1;1;0;4;4;0;2;2;0;6;5;1;4;0;4;6;4;2;8;7;1;12;9;3;4;2;2;2;0;2
