"12ng -- Kuolleet viikoittain sukupuolen, iän ja maakunnan mukaan (Pikaennakko), 1990W01-2022W45*"

"Alue";"Viikko";"Yhteensä Yhteensä Kuolleet";"Yhteensä Miehet Kuolleet";"Yhteensä Naiset Kuolleet";"0 - 4 Yhteensä Kuolleet";"0 - 4 Miehet Kuolleet";"0 - 4 Naiset Kuolleet";"5 - 9 Yhteensä Kuolleet";"5 - 9 Miehet Kuolleet";"5 - 9 Naiset Kuolleet";"10 - 14 Yhteensä Kuolleet";"10 - 14 Miehet Kuolleet";"10 - 14 Naiset Kuolleet";"15 - 19 Yhteensä Kuolleet";"15 - 19 Miehet Kuolleet";"15 - 19 Naiset Kuolleet";"20 - 24 Yhteensä Kuolleet";"20 - 24 Miehet Kuolleet";"20 - 24 Naiset Kuolleet";"25 - 29 Yhteensä Kuolleet";"25 - 29 Miehet Kuolleet";"25 - 29 Naiset Kuolleet";"30 - 34 Yhteensä Kuolleet";"30 - 34 Miehet Kuolleet";"30 - 34 Naiset Kuolleet";"35 - 39 Yhteensä Kuolleet";"35 - 39 Miehet Kuolleet";"35 - 39 Naiset Kuolleet";"40 - 44 Yhteensä Kuolleet";"40 - 44 Miehet Kuolleet";"40 - 44 Naiset Kuolleet";"45 - 49 Yhteensä Kuolleet";"45 - 49 Miehet Kuolleet";"45 - 49 Naiset Kuolleet";"50 - 54 Yhteensä Kuolleet";"50 - 54 Miehet Kuolleet";"50 - 54 Naiset Kuolleet";"55 - 59 Yhteensä Kuolleet";"55 - 59 Miehet Kuolleet";"55 - 59 Naiset Kuolleet";"60 - 64 Yhteensä Kuolleet";"60 - 64 Miehet Kuolleet";"60 - 64 Naiset Kuolleet";"65 - 69 Yhteensä Kuolleet";"65 - 69 Miehet Kuolleet";"65 - 69 Naiset Kuolleet";"70 - 74 Yhteensä Kuolleet";"70 - 74 Miehet Kuolleet";"70 - 74 Naiset Kuolleet";"75 - 79 Yhteensä Kuolleet";"75 - 79 Miehet Kuolleet";"75 - 79 Naiset Kuolleet";"80 - 84 Yhteensä Kuolleet";"80 - 84 Miehet Kuolleet";"80 - 84 Naiset Kuolleet";"85 - 89 Yhteensä Kuolleet";"85 - 89 Miehet Kuolleet";"85 - 89 Naiset Kuolleet";"90 - Yhteensä Kuolleet";"90 - Miehet Kuolleet";"90 - Naiset Kuolleet"
"MK01 Uusimaa";"1990W01";273;115;158;5;4;1;0;0;0;0;0;0;1;0;1;2;0;2;0;0;0;0;0;0;6;4;2;7;4;3;6;4;2;9;4;5;13;8;5;11;6;5;19;12;7;26;12;14;45;16;29;57;15;42;43;20;23;23;6;17
"MK01 Uusimaa";"1990W02";269;123;146;3;2;1;1;0;1;0;0;0;0;0;0;2;1;1;2;2;0;3;1;2;5;5;0;9;7;2;4;2;2;3;1;2;10;5;5;14;11;3;30;11;19;27;11;16;36;22;14;56;24;32;38;14;24;26;4;22
"MK01 Uusimaa";"1990W03";263;120;143;4;3;1;0;0;0;0;0;0;1;1;0;2;2;0;2;2;0;5;3;2;4;3;1;5;3;2;7;5;2;7;4;3;7;5;2;22;12;10;24;13;11;31;17;14;36;16;20;49;20;29;34;9;25;23;2;21
"MK01 Uusimaa";"1990W04";244;125;119;3;3;0;0;0;0;0;0;0;0;0;0;4;2;2;0;0;0;2;2;0;9;8;1;4;4;0;4;4;0;9;8;1;13;8;5;10;8;2;26;19;7;30;14;16;41;22;19;46;15;31;22;3;19;21;5;16
"MK01 Uusimaa";"1990W05";251;123;128;2;2;0;0;0;0;0;0;0;2;1;1;1;0;1;1;0;1;4;3;1;4;3;1;15;11;4;8;6;2;10;7;3;7;6;1;12;9;3;26;15;11;25;17;8;35;16;19;42;15;27;41;9;32;16;3;13
"MK01 Uusimaa";"1990W06";233;109;124;4;2;2;0;0;0;0;0;0;2;2;0;1;1;0;0;0;0;0;0;0;8;4;4;6;2;4;6;5;1;14;8;6;8;5;3;18;12;6;26;10;16;17;9;8;39;19;20;36;17;19;35;9;26;13;4;9
"MK01 Uusimaa";"1990W07";221;103;118;1;1;0;0;0;0;0;0;0;0;0;0;2;1;1;3;3;0;1;1;0;3;3;0;3;3;0;9;8;1;9;7;2;9;4;5;14;10;4;25;10;15;28;17;11;25;7;18;45;16;29;26;7;19;18;5;13
"MK01 Uusimaa";"1990W08";181;74;107;2;1;1;0;0;0;0;0;0;0;0;0;1;1;0;4;3;1;0;0;0;6;5;1;7;4;3;5;3;2;7;4;3;6;6;0;9;6;3;13;6;7;23;10;13;19;10;9;31;5;26;31;9;22;17;1;16
"MK01 Uusimaa";"1990W09";209;101;108;1;1;0;0;0;0;0;0;0;2;1;1;4;3;1;0;0;0;2;2;0;4;2;2;8;6;2;7;3;4;7;7;0;7;5;2;15;9;6;14;10;4;21;7;14;41;23;18;38;12;26;21;6;15;17;4;13
"MK01 Uusimaa";"1990W10";209;95;114;1;1;0;1;1;0;0;0;0;0;0;0;2;2;0;3;2;1;0;0;0;5;4;1;4;2;2;8;5;3;5;4;1;6;4;2;19;11;8;17;11;6;20;13;7;36;13;23;36;11;25;32;9;23;14;2;12
"MK01 Uusimaa";"1990W11";188;98;90;2;1;1;0;0;0;0;0;0;0;0;0;2;2;0;1;1;0;3;2;1;4;2;2;6;6;0;8;5;3;6;5;1;8;7;1;10;7;3;22;11;11;17;9;8;37;20;17;30;13;17;24;6;18;8;1;7
"MK01 Uusimaa";"1990W12";216;96;120;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;4;4;0;3;2;1;3;3;0;9;7;2;9;4;5;5;4;1;9;3;6;17;11;6;22;13;9;26;16;10;29;11;18;42;14;28;23;1;22;13;2;11
"MK01 Uusimaa";"1990W13";233;117;116;0;0;0;0;0;0;1;0;1;2;0;2;4;2;2;1;1;0;1;0;1;4;3;1;5;3;2;4;2;2;12;8;4;10;8;2;14;8;6;28;20;8;27;10;17;39;22;17;41;19;22;24;7;17;16;4;12
"MK01 Uusimaa";"1990W14";190;96;94;2;1;1;0;0;0;0;0;0;0;0;0;3;3;0;1;0;1;3;2;1;4;4;0;6;4;2;1;0;1;6;5;1;7;5;2;8;5;3;14;7;7;23;16;7;42;25;17;33;10;23;22;6;16;15;3;12
"MK01 Uusimaa";"1990W15";205;99;106;1;0;1;0;0;0;0;0;0;2;1;1;1;1;0;1;1;0;3;2;1;4;2;2;2;2;0;6;5;1;6;5;1;13;9;4;22;13;9;22;13;9;20;7;13;26;15;11;40;15;25;23;4;19;13;4;9
"MK01 Uusimaa";"1990W16";192;85;107;0;0;0;0;0;0;0;0;0;0;0;0;4;2;2;3;3;0;4;3;1;5;4;1;8;6;2;8;6;2;11;5;6;9;9;0;15;9;6;12;4;8;17;7;10;24;9;15;24;8;16;31;4;27;17;6;11
"MK01 Uusimaa";"1990W17";208;89;119;7;2;5;0;0;0;0;0;0;1;1;0;3;1;2;2;2;0;1;1;0;1;0;1;8;6;2;10;7;3;12;12;0;9;6;3;15;9;6;16;8;8;23;9;14;27;11;16;39;8;31;23;5;18;11;1;10
"MK01 Uusimaa";"1990W18";204;98;106;4;3;1;0;0;0;1;1;0;1;1;0;0;0;0;2;2;0;1;1;0;4;3;1;8;4;4;3;2;1;5;3;2;11;7;4;10;8;2;20;11;9;20;12;8;37;18;19;31;13;18;34;7;27;12;2;10
"MK01 Uusimaa";"1990W19";195;82;113;3;2;1;0;0;0;0;0;0;1;0;1;1;1;0;2;0;2;3;1;2;4;4;0;3;2;1;8;7;1;3;1;2;11;4;7;16;9;7;19;9;10;18;7;11;29;15;14;38;15;23;23;2;21;13;3;10
"MK01 Uusimaa";"1990W20";212;100;112;1;0;1;1;0;1;0;0;0;4;2;2;1;1;0;0;0;0;7;6;1;4;1;3;9;5;4;7;5;2;10;8;2;11;5;6;18;12;6;19;11;8;19;12;7;36;17;19;37;6;31;20;7;13;8;2;6
"MK01 Uusimaa";"1990W21";199;96;103;1;1;0;0;0;0;1;1;0;2;1;1;2;2;0;3;3;0;5;1;4;3;3;0;3;2;1;6;4;2;9;7;2;7;5;2;13;8;5;18;14;4;27;17;10;31;10;21;34;12;22;26;3;23;8;2;6
"MK01 Uusimaa";"1990W22";192;96;96;0;0;0;0;0;0;0;0;0;1;0;1;2;2;0;3;3;0;0;0;0;3;2;1;6;6;0;9;7;2;4;3;1;10;9;1;13;12;1;17;11;6;25;9;16;34;16;18;34;10;24;15;3;12;16;3;13
"MK01 Uusimaa";"1990W23";220;93;127;0;0;0;1;1;0;0;0;0;2;0;2;4;3;1;1;1;0;3;1;2;4;2;2;9;3;6;7;6;1;9;6;3;12;8;4;17;10;7;15;11;4;20;12;8;32;8;24;38;13;25;29;4;25;17;4;13
"MK01 Uusimaa";"1990W24";199;103;96;3;2;1;0;0;0;0;0;0;2;1;1;2;1;1;2;2;0;2;2;0;5;4;1;5;1;4;6;4;2;11;8;3;8;5;3;15;9;6;14;9;5;21;12;9;30;14;16;32;16;16;27;10;17;14;3;11
"MK01 Uusimaa";"1990W25";210;98;112;4;2;2;0;0;0;0;0;0;2;1;1;1;1;0;3;3;0;4;3;1;5;5;0;6;3;3;6;5;1;6;5;1;12;10;2;15;11;4;11;5;6;25;13;12;38;14;24;32;11;21;30;5;25;10;1;9
"MK01 Uusimaa";"1990W26";211;99;112;2;0;2;0;0;0;0;0;0;2;1;1;2;1;1;2;0;2;1;1;0;4;3;1;5;4;1;5;4;1;7;6;1;19;14;5;15;10;5;14;9;5;21;12;9;37;14;23;36;13;23;26;4;22;13;3;10
"MK01 Uusimaa";"1990W27";219;107;112;1;0;1;0;0;0;2;1;1;5;3;2;4;2;2;0;0;0;3;2;1;7;7;0;10;8;2;11;8;3;8;5;3;14;8;6;9;8;1;18;10;8;22;10;12;33;16;17;35;12;23;24;5;19;13;2;11
"MK01 Uusimaa";"1990W28";209;91;118;3;1;2;0;0;0;0;0;0;1;1;0;1;0;1;1;1;0;2;1;1;5;4;1;5;3;2;7;4;3;8;5;3;16;12;4;18;14;4;22;11;11;21;7;14;29;10;19;33;8;25;25;7;18;12;2;10
"MK01 Uusimaa";"1990W29";229;121;108;2;2;0;0;0;0;0;0;0;0;0;0;2;1;1;2;2;0;4;4;0;5;5;0;7;5;2;10;7;3;9;6;3;13;10;3;21;15;6;23;14;9;20;10;10;32;13;19;40;16;24;25;7;18;14;4;10
"MK01 Uusimaa";"1990W30";191;103;88;2;0;2;1;0;1;0;0;0;4;3;1;4;4;0;3;2;1;3;3;0;4;3;1;10;8;2;7;5;2;12;8;4;5;3;2;3;2;1;19;15;4;26;15;11;38;21;17;21;8;13;21;3;18;8;0;8
"MK01 Uusimaa";"1990W31";198;99;99;2;2;0;0;0;0;0;0;0;3;3;0;2;2;0;1;1;0;4;3;1;3;3;0;5;4;1;3;1;2;8;5;3;13;9;4;11;6;5;14;9;5;27;19;8;29;11;18;35;14;21;28;5;23;10;2;8
"MK01 Uusimaa";"1990W32";204;115;89;2;0;2;0;0;0;0;0;0;4;2;2;2;2;0;3;1;2;2;2;0;3;3;0;7;6;1;5;5;0;6;5;1;10;7;3;14;12;2;16;9;7;24;13;11;30;17;13;31;18;13;30;10;20;15;3;12
"MK01 Uusimaa";"1990W33";175;89;86;1;1;0;0;0;0;0;0;0;1;1;0;1;1;0;3;3;0;4;3;1;3;3;0;6;5;1;3;3;0;5;4;1;11;7;4;13;9;4;16;11;5;21;11;10;28;12;16;26;7;19;18;4;14;15;4;11
"MK01 Uusimaa";"1990W34";199;100;99;0;0;0;1;1;0;0;0;0;0;0;0;2;2;0;2;1;1;6;4;2;4;3;1;6;5;1;6;3;3;8;3;5;8;8;0;14;8;6;20;13;7;21;11;10;31;14;17;33;12;21;26;9;17;11;3;8
"MK01 Uusimaa";"1990W35";186;92;94;4;3;1;1;0;1;0;0;0;1;1;0;1;1;0;4;3;1;1;0;1;4;3;1;6;5;1;6;3;3;10;9;1;7;5;2;7;4;3;14;11;3;16;6;10;27;12;15;37;15;22;23;6;17;17;5;12
"MK01 Uusimaa";"1990W36";196;95;101;2;1;1;0;0;0;0;0;0;2;2;0;0;0;0;1;1;0;3;2;1;3;1;2;4;3;1;10;5;5;10;8;2;11;7;4;11;9;2;17;11;6;23;13;10;24;10;14;38;13;25;23;6;17;14;3;11
