"12ng -- Kuolleet viikoittain sukupuolen, iän ja maakunnan mukaan (Pikaennakko), 1990W01-2022W45*"

"Alue";"Viikko";"Yhteensä Yhteensä Kuolleet";"Yhteensä Miehet Kuolleet";"Yhteensä Naiset Kuolleet";"0 - 4 Yhteensä Kuolleet";"0 - 4 Miehet Kuolleet";"0 - 4 Naiset Kuolleet";"5 - 9 Yhteensä Kuolleet";"5 - 9 Miehet Kuolleet";"5 - 9 Naiset Kuolleet";"10 - 14 Yhteensä Kuolleet";"10 - 14 Miehet Kuolleet";"10 - 14 Naiset Kuolleet";"15 - 19 Yhteensä Kuolleet";"15 - 19 Miehet Kuolleet";"15 - 19 Naiset Kuolleet";"20 - 24 Yhteensä Kuolleet";"20 - 24 Miehet Kuolleet";"20 - 24 Naiset Kuolleet";"25 - 29 Yhteensä Kuolleet";"25 - 29 Miehet Kuolleet";"25 - 29 Naiset Kuolleet";"30 - 34 Yhteensä Kuolleet";"30 - 34 Miehet Kuolleet";"30 - 34 Naiset Kuolleet";"35 - 39 Yhteensä Kuolleet";"35 - 39 Miehet Kuolleet";"35 - 39 Naiset Kuolleet";"40 - 44 Yhteensä Kuolleet";"40 - 44 Miehet Kuolleet";"40 - 44 Naiset Kuolleet";"45 - 49 Yhteensä Kuolleet";"45 - 49 Miehet Kuolleet";"45 - 49 Naiset Kuolleet";"50 - 54 Yhteensä Kuolleet";"50 - 54 Miehet Kuolleet";"50 - 54 Naiset Kuolleet";"55 - 59 Yhteensä Kuolleet";"55 - 59 Miehet Kuolleet";"55 - 59 Naiset Kuolleet";"60 - 64 Yhteensä Kuolleet";"60 - 64 Miehet Kuolleet";"60 - 64 Naiset Kuolleet";"65 - 69 Yhteensä Kuolleet";"65 - 69 Miehet Kuolleet";"65 - 69 Naiset Kuolleet";"70 - 74 Yhteensä Kuolleet";"70 - 74 Miehet Kuolleet";"70 - 74 Naiset Kuolleet";"75 - 79 Yhteensä Kuolleet";"75 - 79 Miehet Kuolleet";"75 - 79 Naiset Kuolleet";"80 - 84 Yhteensä Kuolleet";"80 - 84 Miehet Kuolleet";"80 - 84 Naiset Kuolleet";"85 - 89 Yhteensä Kuolleet";"85 - 89 Miehet Kuolleet";"85 - 89 Naiset Kuolleet";"90 - Yhteensä Kuolleet";"90 - Miehet Kuolleet";"90 - Naiset Kuolleet"
"MK02 Varsinais-Suomi";"1990W01";88;38;50;2;2;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;2;2;0;3;3;0;2;1;1;3;3;0;3;3;0;6;5;1;4;3;1;7;2;5;13;2;11;22;7;15;12;3;9;8;2;6
"MK02 Varsinais-Suomi";"1990W02";92;33;59;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;2;0;1;1;0;1;0;1;6;3;3;10;6;4;8;3;5;9;3;6;16;6;10;18;5;13;9;1;8;9;1;8
"MK02 Varsinais-Suomi";"1990W03";109;47;62;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;2;2;0;2;2;0;5;4;1;4;3;1;10;5;5;10;5;5;25;8;17;25;10;15;17;6;11;7;2;5
"MK02 Varsinais-Suomi";"1990W04";94;48;46;2;1;1;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;2;2;0;2;0;2;4;4;0;7;5;2;14;9;5;12;5;7;23;9;14;16;6;10;8;3;5
"MK02 Varsinais-Suomi";"1990W05";80;30;50;1;0;1;1;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;2;2;0;2;1;1;0;0;0;0;0;0;7;6;1;12;4;8;9;4;5;17;3;14;15;8;7;5;1;4;7;1;6
"MK02 Varsinais-Suomi";"1990W06";82;33;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;1;0;0;0;1;1;0;2;0;2;2;2;0;2;2;0;3;2;1;4;1;3;8;3;5;17;8;9;17;6;11;18;5;13;6;2;4
"MK02 Varsinais-Suomi";"1990W07";91;37;54;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;2;2;0;2;2;0;0;0;0;1;1;0;6;3;3;8;4;4;10;6;4;9;2;7;19;8;11;14;5;9;9;1;8;9;2;7
"MK02 Varsinais-Suomi";"1990W08";83;38;45;1;0;1;0;0;0;0;0;0;0;0;0;3;2;1;0;0;0;0;0;0;0;0;0;2;2;0;2;1;1;4;2;2;1;1;0;7;5;2;8;4;4;7;3;4;13;5;8;15;5;10;16;8;8;4;0;4
"MK02 Varsinais-Suomi";"1990W09";89;41;48;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;1;1;0;1;1;0;0;0;0;1;0;1;1;1;0;3;2;1;4;3;1;14;10;4;10;3;7;11;3;8;22;11;11;13;6;7;6;0;6
"MK02 Varsinais-Suomi";"1990W10";88;41;47;1;1;0;1;0;1;0;0;0;0;0;0;1;1;0;1;1;0;3;2;1;2;1;1;2;2;0;4;3;1;2;1;1;1;1;0;12;8;4;4;2;2;8;2;6;16;6;10;13;7;6;10;2;8;7;1;6
