country;group;week;zscore
Finland;Total;2016-10;
Finland;Total;2016-11;
Finland;Total;2016-12;
Finland;Total;2016-13;
Finland;Total;2016-14;
Finland;Total;2016-15;
Finland;Total;2016-16;
Finland;Total;2016-17;
Finland;Total;2016-18;
Finland;Total;2016-19;
Finland;Total;2016-20;
Finland;Total;2016-21;
Finland;Total;2016-22;
Finland;Total;2016-23;
Finland;Total;2016-24;
Finland;Total;2016-25;
Finland;Total;2016-26;
Finland;Total;2016-27;
Finland;Total;2016-28;
Finland;Total;2016-29;
Finland;Total;2016-30;
Finland;Total;2016-31;
Finland;Total;2016-32;-0.32
Finland;Total;2016-33;0.21
Finland;Total;2016-34;1.12
Finland;Total;2016-35;1.03
Finland;Total;2016-36;0.57
Finland;Total;2016-37;-1.42
Finland;Total;2016-38;0.63
Finland;Total;2016-39;-0.06
Finland;Total;2016-40;-0.11
Finland;Total;2016-41;1.32
Finland;Total;2016-42;-0.53
Finland;Total;2016-43;-0.52
Finland;Total;2016-44;-0.31
Finland;Total;2016-45;0.13
Finland;Total;2016-46;-2
Finland;Total;2016-47;0.14
Finland;Total;2016-48;-1.34
Finland;Total;2016-49;-1.44
Finland;Total;2016-50;-0.31
Finland;Total;2016-51;1.6
Finland;Total;2016-52;3.59
Finland;Total;2017-01;2.57
Finland;Total;2017-02;3.56
Finland;Total;2017-03;1.44
Finland;Total;2017-04;-0.14
Finland;Total;2017-05;-0.29
Finland;Total;2017-06;-0.74
Finland;Total;2017-07;-0.04
Finland;Total;2017-08;0.25
Finland;Total;2017-09;-0.74
Finland;Total;2017-10;-1.2
Finland;Total;2017-11;-1.36
Finland;Total;2017-12;-0.69
Finland;Total;2017-13;-2.03
Finland;Total;2017-14;0.15
Finland;Total;2017-15;-1.01
Finland;Total;2017-16;0.62
Finland;Total;2017-17;-0.3
Finland;Total;2017-18;1.45
Finland;Total;2017-19;1.18
Finland;Total;2017-20;0.28
Finland;Total;2017-21;0.27
Finland;Total;2017-22;0.02
Finland;Total;2017-23;1.21
Finland;Total;2017-24;1.39
Finland;Total;2017-25;0.99
Finland;Total;2017-26;1.08
Finland;Total;2017-27;-0.14
Finland;Total;2017-28;-0.52
Finland;Total;2017-29;-0.23
Finland;Total;2017-30;0.19
Finland;Total;2017-31;-0.28
Finland;Total;2017-32;0.5
Finland;Total;2017-33;0.21
Finland;Total;2017-34;-1.02
Finland;Total;2017-35;-0.15
Finland;Total;2017-36;1.06
Finland;Total;2017-37;1.55
Finland;Total;2017-38;-1.24
Finland;Total;2017-39;-0.43
Finland;Total;2017-40;0.48
Finland;Total;2017-41;-1.3
Finland;Total;2017-42;0.12
Finland;Total;2017-43;-0.79
Finland;Total;2017-44;-0.43
Finland;Total;2017-45;-1.94
Finland;Total;2017-46;-2.55
Finland;Total;2017-47;-2.16
Finland;Total;2017-48;-2.38
Finland;Total;2017-49;-1.93
Finland;Total;2017-50;-1.37
Finland;Total;2017-51;-0.65
Finland;Total;2017-52;-0.45
Finland;Total;2018-01;-1.17
Finland;Total;2018-02;-1.05
Finland;Total;2018-03;-1.08
Finland;Total;2018-04;-0.41
Finland;Total;2018-05;0.64
Finland;Total;2018-06;-0.58
Finland;Total;2018-07;0.15
Finland;Total;2018-08;1.01
Finland;Total;2018-09;2.75
Finland;Total;2018-10;2.16
Finland;Total;2018-11;3.06
Finland;Total;2018-12;2.7
Finland;Total;2018-13;1.9
Finland;Total;2018-14;3.86
Finland;Total;2018-15;0.95
Finland;Total;2018-16;1.32
Finland;Total;2018-17;-0.07
Finland;Total;2018-18;0.08
Finland;Total;2018-19;-0.78
Finland;Total;2018-20;-0.41
Finland;Total;2018-21;-1.79
Finland;Total;2018-22;-1.13
Finland;Total;2018-23;-0.89
Finland;Total;2018-24;-0.94
Finland;Total;2018-25;0.17
Finland;Total;2018-26;0.06
Finland;Total;2018-27;0.42
Finland;Total;2018-28;0.93
Finland;Total;2018-29;2.79
Finland;Total;2018-30;2.41
Finland;Total;2018-31;3.11
Finland;Total;2018-32;-0.64
Finland;Total;2018-33;0.94
Finland;Total;2018-34;-0.17
Finland;Total;2018-35;-0.24
Finland;Total;2018-36;-0.61
Finland;Total;2018-37;-1.71
Finland;Total;2018-38;0.21
Finland;Total;2018-39;0.32
Finland;Total;2018-40;0.83
Finland;Total;2018-41;-0.27
Finland;Total;2018-42;-1.19
Finland;Total;2018-43;-1.13
Finland;Total;2018-44;-0.65
Finland;Total;2018-45;-0.98
Finland;Total;2018-46;-2.19
Finland;Total;2018-47;-2.6
Finland;Total;2018-48;-1.33
Finland;Total;2018-49;-1.02
Finland;Total;2018-50;-1.11
Finland;Total;2018-51;-1.85
Finland;Total;2018-52;1.09
Finland;Total;2019-01;1.32
Finland;Total;2019-02;-0.53
Finland;Total;2019-03;0.33
Finland;Total;2019-04;-0.05
Finland;Total;2019-05;-0.14
Finland;Total;2019-06;0.32
Finland;Total;2019-07;-1.21
Finland;Total;2019-08;-1.43
Finland;Total;2019-09;-0.99
Finland;Total;2019-10;-0.7
Finland;Total;2019-11;0.82
Finland;Total;2019-12;-1.02
Finland;Total;2019-13;-0.55
Finland;Total;2019-14;-0.91
Finland;Total;2019-15;-0.19
Finland;Total;2019-16;-0.61
Finland;Total;2019-17;-0.64
Finland;Total;2019-18;1.59
Finland;Total;2019-19;-0.93
Finland;Total;2019-20;-0.27
Finland;Total;2019-21;-1.53
Finland;Total;2019-22;-1.36
Finland;Total;2019-23;1.73
Finland;Total;2019-24;-0.85
Finland;Total;2019-25;-0.11
Finland;Total;2019-26;-1.18
Finland;Total;2019-27;0.04
Finland;Total;2019-28;0.93
Finland;Total;2019-29;0.61
Finland;Total;2019-30;1.99
Finland;Total;2019-31;-0.67
Finland;Total;2019-32;0.33
Finland;Total;2019-33;-0.72
Finland;Total;2019-34;0.7
Finland;Total;2019-35;-0.03
Finland;Total;2019-36;-0.12
Finland;Total;2019-37;0.03
Finland;Total;2019-38;0.38
Finland;Total;2019-39;0.71
Finland;Total;2019-40;0.92
Finland;Total;2019-41;1.8
Finland;Total;2019-42;0.72
Finland;Total;2019-43;0.65
Finland;Total;2019-44;0.92
Finland;Total;2019-45;-1.85
Finland;Total;2019-46;-1.63
Finland;Total;2019-47;-2.59
Finland;Total;2019-48;-2.08
Finland;Total;2019-49;-0.53
Finland;Total;2019-50;-1.65
Finland;Total;2019-51;-0.81
Finland;Total;2019-52;-1.09
Finland;Total;2020-01;-1.92
Finland;Total;2020-02;-1.72
Finland;Total;2020-03;-1.77
Finland;Total;2020-04;-2.44
Finland;Total;2020-05;-1.86
Finland;Total;2020-06;-0.84
Finland;Total;2020-07;-1.03
Finland;Total;2020-08;-0.92
Finland;Total;2020-09;-1.8
Finland;Total;2020-10;-0.46
Finland;Total;2020-11;-0.25
Finland;Total;2020-12;0.23
Finland;Total;2020-13;0.31
Finland;Total;2020-14;0.71
Finland;Total;2020-15;2.55
Finland;Total;2020-16;1.01
Finland;Total;2020-17;2.27
Finland;Total;2020-18;2.67
Finland;Total;2020-19;0.96
Finland;Total;2020-20;2.22
Finland;Total;2020-21;-1.1
Finland;Total;2020-22;0.04
Finland;Total;2020-23;-0.17
Finland;Total;2020-24;0.56
Finland;Total;2020-25;2.51
Finland;Total;2020-26;1.55
Finland;Total;2020-27;1.12
Finland;Total;2020-28;-0.08
Finland;Total;2020-29;1.55
Finland;Total;2020-30;0.32
Finland;Total;2020-31;0.82
Finland;Total;2020-32;-0.08
Finland;Total;2020-33;0.47
Finland;Total;2020-34;1.31
Finland;Total;2020-35;0.39
Finland;Total;2020-36;0.07
Finland;Total;2020-37;2.96
Finland;Total;2020-38;1.01
Finland;Total;2020-39;1.89
Finland;Total;2020-40;-1.03
Finland;Total;2020-41;-1.14
Finland;Total;2020-42;0.76
Finland;Total;2020-43;0.36
Finland;Total;2020-44;1.34
Finland;Total;2020-45;-0.8
Finland;Total;2020-46;-1.49
Finland;Total;2020-47;0.26
Finland;Total;2020-48;-0.18
Finland;Total;2020-49;-0.02
Finland;Total;2020-50;-0.48
Finland;Total;2020-51;-0.01
Finland;Total;2020-52;-0.52
Finland;Total;2020-53;0.19
Finland;Total;2021-01;-0.97
Finland;Total;2021-02;-0.62
Finland;Total;2021-03;0.86
Finland;Total;2021-04;-0.29
Finland;Total;2021-05;-1.16
Finland;Total;2021-06;-1.98
Finland;Total;2021-07;0.16
Finland;Total;2021-08;-0.62
Finland;Total;2021-09;-1.01
Finland;Total;2021-10;-1.62
Finland;Total;2021-11;-0.76
Finland;Total;2021-12;-2
Finland;Total;2021-13;-1.39
Finland;Total;2021-14;-0.79
Finland;Total;2021-15;-0.87
Finland;Total;2021-16;-0.45
Finland;Total;2021-17;-1.12
Finland;Total;2021-18;0.52
Finland;Total;2021-19;1.29
Finland;Total;2021-20;-0.68
Finland;Total;2021-21;-0.67
Finland;Total;2021-22;0.27
Finland;Total;2021-23;-0.33
Finland;Total;2021-24;0.13
Finland;Total;2021-25;1.51
Finland;Total;2021-26;0.68
Finland;Total;2021-27;2.36
