"11ll -- Väestönmuutokset kuukausittain, 1990M01-2022M09*"

"Kuukausi";"Kuolleet";"Väkiluku"
"1990M01";5105;4974864
"1990M02";4072;4976277
"1990M03";4201;4978381
"1990M04";3922;4980325
"1990M05";4074;4982613
"1990M06";4142;4984601
"1990M07";4082;4986981
"1990M08";3895;4989525
"1990M09";3879;4992072
"1990M10";4101;4994139
"1990M11";4141;4995856
"1990M12";4444;4998478
"1991M01";4515;5000118
"1991M02";3838;5002068
"1991M03";4390;5004396
"1991M04";4146;5006966
"1991M05";4043;5009679
"1991M06";4108;5012239
"1991M07";4125;5015131
"1991M08";3945;5018401
"1991M09";3967;5021064
"1991M10";3939;5023762
"1991M11";3936;5025890
"1991M12";4342;5029002
"1992M01";4642;5030167
"1992M02";4546;5031672
"1992M03";4176;5034212
"1992M04";3985;5036795
"1992M05";4135;5038869
"1992M06";4016;5041201
"1992M07";3945;5043962
"1992M08";3988;5046368
"1992M09";3920;5048855
"1992M10";4118;5050949
"1992M11";4026;5052624
"1992M12";4347;5054982
"1993M01";4401;5056441
"1993M02";4084;5058438
"1993M03";4953;5060510
"1993M04";4310;5062834
"1993M05";4008;5065568
"1993M06";3875;5068162
"1993M07";3874;5070767
"1993M08";3797;5072884
"1993M09";3995;5074775
"1993M10";4086;5076130
"1993M11";4101;5077399
"1993M12";5504;5077912
"1994M01";4663;5078457
"1994M02";3899;5079872
"1994M03";3991;5082131
"1994M04";3876;5084446
"1994M05";3868;5086679
"1994M06";3943;5088758
"1994M07";4220;5090421
"1994M08";3763;5092393
"1994M09";3800;5093902
"1994M10";4018;5095267
"1994M11";3786;5096820
"1994M12";4173;5098754
"1995M01";4405;5099754
"1995M02";3902;5101309
"1995M03";4373;5102982
"1995M04";4096;5104713
"1995M05";4243;5106431
"1995M06";3961;5108385
"1995M07";3983;5110361
"1995M08";3818;5112088
"1995M09";3955;5113493
"1995M10";3983;5114518
"1995M11";3945;5115496
"1995M12";4616;5116826
"1996M01";5243;5116878
"1996M02";4304;5117622
"1996M03";4278;5118893
"1996M04";3914;5120801
"1996M05";4027;5122754
"1996M06";3856;5124390
"1996M07";3852;5126083
"1996M08";3819;5127446
"1996M09";3772;5128662
"1996M10";3880;5129831
"1996M11";3821;5130915
"1996M12";4401;5132320
"1997M01";4550;5132904
"1997M02";3986;5133696
"1997M03";4363;5134748
"1997M04";4104;5136345
"1997M05";4060;5137854
"1997M06";3990;5139612
"1997M07";3798;5141717
"1997M08";3856;5143217
"1997M09";3818;5144459
"1997M10";4197;5145264
"1997M11";3975;5145871
"1997M12";4411;5147349
"1998M01";4211;5147904
"1998M02";4354;5147958
"1998M03";4918;5148369
"1998M04";4261;5149376
"1998M05";3890;5150761
"1998M06";3760;5152676
"1998M07";3913;5154560
"1998M08";3860;5155540
"1998M09";3907;5156651
"1998M10";4032;5157570
"1998M11";3978;5158189
"1998M12";4178;5159646
"1999M01";4473;5159697
"1999M02";4711;5159509
"1999M03";4672;5160220
"1999M04";3890;5161508
"1999M05";4001;5163075
"1999M06";3850;5164615
"1999M07";3902;5166463
"1999M08";3948;5167479
"1999M09";3775;5168663
"1999M10";3821;5169425
"1999M11";3798;5170164
"1999M12";4504;5171302
"2000M01";5171;5170849
"2000M02";4377;5171220
"2000M03";4393;5172087
"2000M04";3997;5173382
"2000M05";3987;5175066
"2000M06";3925;5175995
"2000M07";3932;5176824
"2000M08";3905;5177888
"2000M09";3812;5178827
"2000M10";3807;5179645
"2000M11";3772;5180602
"2000M12";4261;5181115
"2001M01";4143;5182045
"2001M02";3865;5182966
"2001M03";4173;5183995
"2001M04";4127;5185337
"2001M05";4087;5186677
"2001M06";4135;5188099
"2001M07";4034;5189698
"2001M08";3885;5190893
"2001M09";3908;5192065
"2001M10";3922;5193118
"2001M11";3978;5194027
"2001M12";4293;5194901
"2002M01";4532;5195176
"2002M02";4029;5195620
"2002M03";4550;5196359
"2002M04";4383;5197097
"2002M05";4044;5198500
"2002M06";3808;5200033
"2002M07";4026;5201859
"2002M08";3896;5203222
"2002M09";3744;5204599
"2002M10";4107;5205340
"2002M11";3908;5205918
"2002M12";4391;5206295
"2003M01";4811;5206292
"2003M02";3818;5207242
"2003M03";4092;5208533
"2003M04";4025;5209787
"2003M05";3916;5211153
"2003M06";3723;5212822
"2003M07";3949;5214830
"2003M08";3942;5216332
"2003M09";3856;5217587
"2003M10";3990;5218886
"2003M11";3866;5219674
"2003M12";5008;5219732
"2004M01";4621;5220147
"2004M02";3892;5220986
"2004M03";4085;5222507
"2004M04";3867;5224067
"2004M05";3925;5225722
"2004M06";3930;5227493
"2004M07";3823;5229783
"2004M08";3816;5231511
"2004M09";3796;5233055
"2004M10";3968;5234152
"2004M11";3748;5235602
"2004M12";4129;5236611
"2005M01";4205;5237518
"2005M02";3866;5238318
"2005M03";4598;5239456
"2005M04";4017;5241298
"2005M05";4160;5243063
"2005M06";3831;5245128
"2005M07";3895;5247163
"2005M08";3707;5249376
"2005M09";3804;5251407
"2005M10";3850;5253234
"2005M11";3768;5254507
"2005M12";4227;5255580
