Mittari;Aika;val
Tapausten lukumäärä;Vuosi 2020 Viikko 05;1
Testausmäärä;Vuosi 2020 Viikko 05;
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 05;
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 05;
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 05;
Tapausten lukumäärä;Vuosi 2020 Viikko 06;0
Testausmäärä;Vuosi 2020 Viikko 06;
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 06;
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 06;
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 06;
Tapausten lukumäärä;Vuosi 2020 Viikko 07;1
Testausmäärä;Vuosi 2020 Viikko 07;
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 07;
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 07;
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 07;
Tapausten lukumäärä;Vuosi 2020 Viikko 08;1
Testausmäärä;Vuosi 2020 Viikko 08;
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 08;
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 08;
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 08;
Tapausten lukumäärä;Vuosi 2020 Viikko 09;7
Testausmäärä;Vuosi 2020 Viikko 09;398
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 09;
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 09;
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 09;
Tapausten lukumäärä;Vuosi 2020 Viikko 10;34
Testausmäärä;Vuosi 2020 Viikko 10;381
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 10;1
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 10;
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 10;
Tapausten lukumäärä;Vuosi 2020 Viikko 11;317
Testausmäärä;Vuosi 2020 Viikko 11;2410
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 11;2
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 11;
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 11;
Tapausten lukumäärä;Vuosi 2020 Viikko 12;540
Testausmäärä;Vuosi 2020 Viikko 12;7741
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 12;8
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 12;
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 12;
Tapausten lukumäärä;Vuosi 2020 Viikko 13;642
Testausmäärä;Vuosi 2020 Viikko 13;10379
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 13;30
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 13;9
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 13;0
Tapausten lukumäärä;Vuosi 2020 Viikko 14;966
Testausmäärä;Vuosi 2020 Viikko 14;12719
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 14;43
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 14;26
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 14;1
Tapausten lukumäärä;Vuosi 2020 Viikko 15;931
Testausmäärä;Vuosi 2020 Viikko 15;16176
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 15;63
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 15;41
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 15;3
Tapausten lukumäärä;Vuosi 2020 Viikko 16;790
Testausmäärä;Vuosi 2020 Viikko 16;16908
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 16;64
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 16;54
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 16;5
Tapausten lukumäärä;Vuosi 2020 Viikko 17;736
Testausmäärä;Vuosi 2020 Viikko 17;23236
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 17;41
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 17;52
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 17;6
Tapausten lukumäärä;Vuosi 2020 Viikko 18;623
Testausmäärä;Vuosi 2020 Viikko 18;21364
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 18;16
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 18;38
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 18;7
Tapausten lukumäärä;Vuosi 2020 Viikko 19;617
Testausmäärä;Vuosi 2020 Viikko 19;21129
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 19;23
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 19;26
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 19;8
Tapausten lukumäärä;Vuosi 2020 Viikko 20;396
Testausmäärä;Vuosi 2020 Viikko 20;24285
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 20;8
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 20;23
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 20;5
Tapausten lukumäärä;Vuosi 2020 Viikko 21;221
Testausmäärä;Vuosi 2020 Viikko 21;20367
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 21;4
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 21;10
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 21;2
Tapausten lukumäärä;Vuosi 2020 Viikko 22;163
Testausmäärä;Vuosi 2020 Viikko 22;17378
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 22;2
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 22;6
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 22;4
Tapausten lukumäärä;Vuosi 2020 Viikko 23;99
Testausmäärä;Vuosi 2020 Viikko 23;15543
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 23;0
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 23;5
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 23;1
Tapausten lukumäärä;Vuosi 2020 Viikko 24;54
Testausmäärä;Vuosi 2020 Viikko 24;15596
Koronaan ajallisesti liittyvät kuolemat (30 vrk), tartuntatautirekisteri;Vuosi 2020 Viikko 24;0
Koronasta johtuvat kuolemat, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 24;1
Kuolemat joissa korona myötävaikuttavana tekijänä, kuolintodistus (alustava tieto);Vuosi 2020 Viikko 24;1
Tapausten lukumäärä;Vuosi 2020 Viikko 25;51
