"12ng -- Kuolleet viikoittain sukupuolen, iän ja maakunnan mukaan (Pikaennakko), 1990W01-2022W14*"

"Alue";"Viikko";"Yhteensä Yhteensä Kuolleet";"Yhteensä Miehet Kuolleet";"Yhteensä Naiset Kuolleet";"0 - 4 Yhteensä Kuolleet";"0 - 4 Miehet Kuolleet";"0 - 4 Naiset Kuolleet";"5 - 9 Yhteensä Kuolleet";"5 - 9 Miehet Kuolleet";"5 - 9 Naiset Kuolleet";"10 - 14 Yhteensä Kuolleet";"10 - 14 Miehet Kuolleet";"10 - 14 Naiset Kuolleet";"15 - 19 Yhteensä Kuolleet";"15 - 19 Miehet Kuolleet";"15 - 19 Naiset Kuolleet";"20 - 24 Yhteensä Kuolleet";"20 - 24 Miehet Kuolleet";"20 - 24 Naiset Kuolleet";"25 - 29 Yhteensä Kuolleet";"25 - 29 Miehet Kuolleet";"25 - 29 Naiset Kuolleet";"30 - 34 Yhteensä Kuolleet";"30 - 34 Miehet Kuolleet";"30 - 34 Naiset Kuolleet";"35 - 39 Yhteensä Kuolleet";"35 - 39 Miehet Kuolleet";"35 - 39 Naiset Kuolleet";"40 - 44 Yhteensä Kuolleet";"40 - 44 Miehet Kuolleet";"40 - 44 Naiset Kuolleet";"45 - 49 Yhteensä Kuolleet";"45 - 49 Miehet Kuolleet";"45 - 49 Naiset Kuolleet";"50 - 54 Yhteensä Kuolleet";"50 - 54 Miehet Kuolleet";"50 - 54 Naiset Kuolleet";"55 - 59 Yhteensä Kuolleet";"55 - 59 Miehet Kuolleet";"55 - 59 Naiset Kuolleet";"60 - 64 Yhteensä Kuolleet";"60 - 64 Miehet Kuolleet";"60 - 64 Naiset Kuolleet";"65 - 69 Yhteensä Kuolleet";"65 - 69 Miehet Kuolleet";"65 - 69 Naiset Kuolleet";"70 - 74 Yhteensä Kuolleet";"70 - 74 Miehet Kuolleet";"70 - 74 Naiset Kuolleet";"75 - 79 Yhteensä Kuolleet";"75 - 79 Miehet Kuolleet";"75 - 79 Naiset Kuolleet";"80 - 84 Yhteensä Kuolleet";"80 - 84 Miehet Kuolleet";"80 - 84 Naiset Kuolleet";"85 - 89 Yhteensä Kuolleet";"85 - 89 Miehet Kuolleet";"85 - 89 Naiset Kuolleet";"90 - Yhteensä Kuolleet";"90 - Miehet Kuolleet";"90 - Naiset Kuolleet"
"KOKO MAA";"1990W01";1146;557;589;12;9;3;2;1;1;0;0;0;3;2;1;6;2;4;8;8;0;8;7;1;14;12;2;25;17;8;28;21;7;42;29;13;44;33;11;74;49;25;87;58;29;132;72;60;195;78;117;224;82;142;152;57;95;90;20;70
"KOKO MAA";"1990W02";1139;530;609;6;3;3;3;0;3;1;0;1;8;6;2;8;6;2;4;4;0;11;7;4;21;19;2;20;15;5;10;8;2;33;24;9;45;27;18;83;57;26;123;70;53;113;48;65;178;85;93;231;80;151;150;48;102;91;23;68
"KOKO MAA";"1990W03";1185;563;622;9;4;5;2;0;2;1;1;0;3;3;0;8;8;0;7;5;2;9;6;3;12;8;4;24;18;6;26;21;5;33;22;11;45;32;13;77;50;27;113;57;56;155;84;71;184;84;100;220;84;136;168;61;107;89;15;74
"KOKO MAA";"1990W04";1164;589;575;6;5;1;0;0;0;1;0;1;5;3;2;7;5;2;3;3;0;9;8;1;22;18;4;22;19;3;29;28;1;29;21;8;51;33;18;70;53;17;110;72;38;136;76;60;190;92;98;231;88;143;152;44;108;91;21;70
"KOKO MAA";"1990W05";1103;538;565;6;4;2;2;1;1;2;1;1;4;3;1;3;1;2;4;3;1;12;9;3;12;8;4;39;31;8;23;17;6;25;17;8;33;26;7;65;43;22;123;71;52;125;73;52;186;87;99;194;78;116;161;51;110;84;14;70
"KOKO MAA";"1990W06";1065;513;552;11;5;6;0;0;0;0;0;0;3;3;0;1;1;0;1;0;1;5;4;1;24;15;9;15;8;7;27;19;8;42;28;14;41;26;15;70;44;26;98;54;44;131;66;65;191;85;106;189;80;109;152;51;101;64;24;40
"KOKO MAA";"1990W07";988;464;524;3;2;1;0;0;0;0;0;0;4;3;1;3;1;2;7;7;0;4;3;1;9;6;3;21;17;4;23;18;5;38;28;10;41;28;13;63;42;21;94;53;41;132;65;67;157;63;94;174;67;107;132;40;92;83;21;62
"KOKO MAA";"1990W08";964;456;508;8;2;6;3;3;0;0;0;0;4;2;2;7;6;1;11;9;2;7;6;1;17;14;3;26;15;11;20;10;10;30;19;11;36;26;10;63;49;14;89;52;37;122;65;57;143;70;73;182;58;124;115;34;81;81;16;65
"KOKO MAA";"1990W09";958;459;499;9;3;6;1;0;1;1;0;1;3;2;1;5;3;2;4;3;1;10;10;0;16;10;6;22;15;7;20;12;8;29;22;7;41;32;9;65;43;22;92;57;35;118;57;61;149;70;79;170;64;106;132;38;94;71;18;53
"KOKO MAA";"1990W10";973;488;485;9;5;4;3;2;1;1;0;1;1;0;1;6;4;2;10;8;2;8;6;2;17;12;5;14;11;3;26;18;8;30;22;8;39;34;5;80;60;20;75;46;29;109;55;54;182;80;102;161;66;95;127;39;88;75;20;55
"KOKO MAA";"1990W11";905;468;437;7;4;3;1;1;0;0;0;0;2;2;0;5;5;0;4;4;0;11;7;4;16;14;2;20;15;5;31;16;15;34;27;7;43;34;9;61;42;19;81;50;31;113;66;47;147;76;71;157;64;93;111;30;81;61;11;50
"KOKO MAA";"1990W12";967;471;496;3;1;2;0;0;0;1;1;0;2;1;1;10;6;4;7;6;1;11;10;1;14;12;2;23;19;4;32;20;12;24;18;6;38;24;14;73;51;22;99;57;42;104;60;44;169;80;89;179;58;121;110;32;78;68;15;53
"KOKO MAA";"1990W13";971;475;496;5;2;3;1;1;0;2;1;1;4;2;2;8;4;4;8;6;2;11;5;6;11;9;2;24;16;8;26;17;9;28;20;8;44;34;10;76;55;21;100;64;36;117;54;63;175;76;99;174;64;110;104;33;71;53;12;41
"KOKO MAA";"1990W14";914;472;442;10;5;5;1;1;0;1;1;0;1;1;0;4;4;0;4;2;2;10;7;3;11;10;1;25;17;8;16;14;2;26;19;7;49;38;11;60;46;14;98;60;38;104;50;54;154;86;68;170;61;109;103;33;70;67;17;50
"KOKO MAA";"1990W15";908;461;447;13;6;7;0;0;0;0;0;0;4;2;2;4;4;0;4;2;2;10;7;3;17;11;6;26;23;3;21;14;7;30;24;6;44;34;10;80;54;26;87;57;30;98;43;55;140;71;69;169;56;113;105;35;70;56;18;38
"KOKO MAA";"1990W16";924;440;484;7;4;3;0;0;0;1;1;0;1;0;1;6;4;2;7;7;0;10;9;1;14;12;2;27;19;8;24;15;9;38;24;14;41;32;9;68;48;20;97;43;54;108;55;53;133;66;67;156;53;103;118;31;87;68;17;51
"KOKO MAA";"1990W17";909;472;437;10;2;8;2;1;1;0;0;0;5;4;1;5;2;3;8;6;2;13;11;2;5;4;1;22;17;5;30;20;10;35;31;4;42;33;9;64;38;26;87;53;34;106;60;46;141;72;69;170;65;105;108;34;74;56;19;37
"KOKO MAA";"1990W18";934;492;442;11;6;5;0;0;0;1;1;0;3;2;1;4;4;0;5;5;0;14;12;2;14;11;3;26;20;6;20;13;7;36;28;8;41;29;12;55;36;19;104;61;43;123;69;54;160;83;77;145;57;88;121;42;79;51;13;38
