"12ng -- Kuolleet viikoittain sukupuolen, iän ja maakunnan mukaan (Pikaennakko), 1990W01-2022W14*"

"Alue";"Viikko";"Yhteensä Yhteensä Kuolleet";"0 - 4 Yhteensä Kuolleet";"5 - 9 Yhteensä Kuolleet";"10 - 14 Yhteensä Kuolleet";"15 - 19 Yhteensä Kuolleet";"20 - 24 Yhteensä Kuolleet";"25 - 29 Yhteensä Kuolleet";"30 - 34 Yhteensä Kuolleet";"35 - 39 Yhteensä Kuolleet";"40 - 44 Yhteensä Kuolleet";"45 - 49 Yhteensä Kuolleet";"50 - 54 Yhteensä Kuolleet";"55 - 59 Yhteensä Kuolleet";"60 - 64 Yhteensä Kuolleet";"65 - 69 Yhteensä Kuolleet";"70 - 74 Yhteensä Kuolleet";"75 - 79 Yhteensä Kuolleet";"80 - 84 Yhteensä Kuolleet";"85 - 89 Yhteensä Kuolleet";"90 - Yhteensä Kuolleet"
"KOKO MAA";"1990W01";1146;12;2;0;3;6;8;8;14;25;28;42;44;74;87;132;195;224;152;90
"KOKO MAA";"1990W02";1139;6;3;1;8;8;4;11;21;20;10;33;45;83;123;113;178;231;150;91
"KOKO MAA";"1990W03";1185;9;2;1;3;8;7;9;12;24;26;33;45;77;113;155;184;220;168;89
"KOKO MAA";"1990W04";1164;6;0;1;5;7;3;9;22;22;29;29;51;70;110;136;190;231;152;91
"KOKO MAA";"1990W05";1103;6;2;2;4;3;4;12;12;39;23;25;33;65;123;125;186;194;161;84
"KOKO MAA";"1990W06";1065;11;0;0;3;1;1;5;24;15;27;42;41;70;98;131;191;189;152;64
"KOKO MAA";"1990W07";988;3;0;0;4;3;7;4;9;21;23;38;41;63;94;132;157;174;132;83
"KOKO MAA";"1990W08";964;8;3;0;4;7;11;7;17;26;20;30;36;63;89;122;143;182;115;81
"KOKO MAA";"1990W09";958;9;1;1;3;5;4;10;16;22;20;29;41;65;92;118;149;170;132;71
"KOKO MAA";"1990W10";973;9;3;1;1;6;10;8;17;14;26;30;39;80;75;109;182;161;127;75
"KOKO MAA";"1990W11";905;7;1;0;2;5;4;11;16;20;31;34;43;61;81;113;147;157;111;61
"KOKO MAA";"1990W12";967;3;0;1;2;10;7;11;14;23;32;24;38;73;99;104;169;179;110;68
"KOKO MAA";"1990W13";971;5;1;2;4;8;8;11;11;24;26;28;44;76;100;117;175;174;104;53
"KOKO MAA";"1990W14";914;10;1;1;1;4;4;10;11;25;16;26;49;60;98;104;154;170;103;67
"KOKO MAA";"1990W15";908;13;0;0;4;4;4;10;17;26;21;30;44;80;87;98;140;169;105;56
"KOKO MAA";"1990W16";924;7;0;1;1;6;7;10;14;27;24;38;41;68;97;108;133;156;118;68
"KOKO MAA";"1990W17";909;10;2;0;5;5;8;13;5;22;30;35;42;64;87;106;141;170;108;56
"KOKO MAA";"1990W18";934;11;0;1;3;4;5;14;14;26;20;36;41;55;104;123;160;145;121;51
"KOKO MAA";"1990W19";915;12;3;1;4;5;5;10;11;12;22;20;50;70;94;105;133;167;119;72
"KOKO MAA";"1990W20";910;9;2;0;8;3;4;16;10;23;20;32;35;81;78;103;160;147;120;59
"KOKO MAA";"1990W21";889;10;3;2;2;7;8;14;13;19;19;31;40;49;90;115;152;171;93;51
"KOKO MAA";"1990W22";951;5;1;1;9;6;9;9;12;26;26;31;39;69;97;98;152;186;109;66
"KOKO MAA";"1990W23";966;7;1;1;3;9;7;13;17;25;24;22;54;87;92;107;159;169;110;59
"KOKO MAA";"1990W24";949;12;0;1;7;4;5;7;18;26;25;44;53;60;100;117;163;141;116;50
"KOKO MAA";"1990W25";935;7;1;0;7;7;9;15;17;24;21;37;42;74;82;93;154;149;133;63
"KOKO MAA";"1990W26";1024;11;1;2;4;12;14;3;15;20;22;39;69;68;90;110;181;176;117;70
"KOKO MAA";"1990W27";941;5;1;5;9;11;9;12;25;31;27;26;43;62;78;106;155;167;112;57
"KOKO MAA";"1990W28";905;9;1;2;7;13;6;5;15;26;24;34;52;69;87;116;131;166;88;54
"KOKO MAA";"1990W29";889;10;1;0;3;9;7;11;16;28;23;30;42;67;77;107;138;143;120;57
"KOKO MAA";"1990W30";915;8;3;0;12;13;8;10;8;32;23;39;30;60;88;103;175;141;114;48
"KOKO MAA";"1990W31";948;8;1;0;6;9;9;10;12;14;18;29;52;58;88;111;165;162;135;61
"KOKO MAA";"1990W32";858;8;4;0;8;7;7;8;18;33;18;26;41;69;77;89;134;158;94;59
"KOKO MAA";"1990W33";881;8;2;1;5;7;7;11;16;26;26;26;47;57;88;109;127;160;99;59
"KOKO MAA";"1990W34";861;6;4;3;4;7;6;12;15;23;20;35;36;60;92;92;132;157;101;56
"KOKO MAA";"1990W35";879;9;2;1;1;5;9;4;14;24;20;32;46;54;90;98;142;162;111;55
"KOKO MAA";"1990W36";868;6;0;1;2;3;2;12;18;21;22;38;39;64;86;110;132;150;101;61
"KOKO MAA";"1990W37";879;6;0;0;10;10;9;9;15;22;21;30;45;69;94;87;147;139;115;51
"KOKO MAA";"1990W38";976;7;0;1;4;7;6;10;10;23;28;34;35;90;108;118;140;182;108;65
"KOKO MAA";"1990W39";916;11;0;1;8;8;5;12;12;23;24;28;40;66;87;112;176;149;112;42
"KOKO MAA";"1990W40";945;8;0;3;1;13;7;12;20;20;25;30;44;60;100;114;135;181;104;68
"KOKO MAA";"1990W41";936;15;1;0;3;5;5;12;10;29;19;28;47;75;86;109;160;161;119;52
"KOKO MAA";"1990W42";944;10;1;6;4;8;8;12;17;27;28;36;42;87;87;117;115;159;108;72
"KOKO MAA";"1990W43";912;6;3;0;2;4;10;8;11;33;27;33;37;68;85;112;156;144;116;57
"KOKO MAA";"1990W44";895;6;1;1;3;8;3;9;14;24;21;27;39;66;84;124;161;148;108;48
"KOKO MAA";"1990W45";960;6;2;0;3;11;7;10;13;28;26;35;31;62;90;118;150;174;133;61
"KOKO MAA";"1990W46";943;12;1;1;7;13;5;8;7;24;23;32;39;75;88;116;147;173;113;59
"KOKO MAA";"1990W47";981;7;1;2;2;7;7;10;16;23;22;32;44;63;98;134;161;154;133;65
"KOKO MAA";"1990W48";1052;10;3;9;5;8;7;11;14;25;27;29;42;71;124;123;161;177;129;77
"KOKO MAA";"1990W49";962;4;1;1;10;8;8;11;12;24;25;27;43;76;76;125;143;177;131;60
"KOKO MAA";"1990W50";962;10;1;1;5;8;10;13;17;20;28;21;45;56;120;99;169;164;108;67
"KOKO MAA";"1990W51";1019;10;1;3;2;12;7;11;14;30;18;21;33;67;108;125;168;189;131;69
