"cumulative_excess_mortality_x","cumulative_excess_mortality_x_date","cumulative_excess_mortality_y"
"-4381","2008-01-03","-61.7295261922269"
"-4374","2008-01-10","-51.15206417278546"
"-4367","2008-01-17","-136.2816343263347"
"-4360","2008-01-24","-201.08070775976364"
"-4353","2008-01-31","-231.4752173777888"
"-4346","2008-02-07","-262.3701037928896"
"-4339","2008-02-14","-325.66517106016863"
"-4332","2008-02-21","-369.27102265661165"
"-4325","2008-02-28","-326.1248468772899"
"-4318","2008-03-06","-218.20582291757376"
"-4311","2008-03-13","-170.54992432126448"
"-4304","2008-03-20","-204.2639051225534"
"-4297","2008-03-27","-148.53826577077382"
"-4290","2008-04-03","-50.65901063178251"
"-4283","2008-04-10","-62.01802629659426"
"-4276","2008-04-17","-1.1219298449184407"
"-4269","2008-04-24","-23.59925832098463"
"-4262","2008-05-01","15.794105338091754"
"-4255","2008-05-08","-7.828650828175796"
"-4248","2008-05-15","-35.48695555257791"
"-4241","2008-05-22","-55.332621562208715"
"-4234","2008-05-29","-102.64769494082509"
"-4227","2008-06-05","-85.84041708304335"
"-4220","2008-06-12","-88.43935704515252"
"-4213","2008-06-19","-54.08579862319982"
"-4206","2008-06-26","-132.52449180300255"
"-4199","2008-07-03","-105.59290196157917"
"-4192","2008-07-10","-123.20911201086642"
"-4185","2008-07-17","-119.35855224572413"
"-4178","2008-07-24","-125.07974970483576"
"-4171","2008-07-31","-95.44930312731344"
"-4164","2008-08-07","-98.56630088177587"
"-4157","2008-08-14","-78.53640739372565"
"-4150","2008-08-21","-64.45584848196518"
"-4143","2008-08-28","-84.39552756362889"
"-4136","2008-09-04","-61.385502876484566"
"-4129","2008-09-11","-25.400050721501543"
"-4122","2008-09-18","-71.34353132159367"
"-4115","2008-09-25","13.96273765545277"
"-4108","2008-10-02","-13.207590615540198"
"-4101","2008-10-09","-38.475335256708945"
"-4094","2008-10-16","-29.346755687263908"
"-4087","2008-10-23","-90.206175883784"
"-4080","2008-10-30","-126.31037235479937"
"-4073","2008-11-06","-201.78480777288223"
"-4066","2008-11-13","-243.62176550017568"
"-4059","2008-11-20","-281.6804127260166"
"-4052","2008-11-27","-266.6887920065011"
"-4045","2008-12-04","-396.24771305979675"
"-4038","2008-12-11","-461.83648913257935"
"-4031","2008-12-18","-489.82043551111576"
"-4024","2008-12-25","-537.4600221930048"
"-4017","2009-01-01","-386.92154873308266"
"-4010","2009-01-08","-316.2891871777415"
"-4003","2009-01-15","-274.57821912681356"
"-3996","2009-01-22","-237.7492755998967"
"-3989","2009-01-29","-240.7233737870422"
"-3982","2009-02-05","-182.39753314452173"
"-3975","2009-02-12","-52.66074482436147"
"-3968","2009-02-19","-54.41006322536509"
"-3961","2009-02-26","-102.56658659995901"
"-3954","2009-03-05","-18.09109517347747"
"-3947","2009-03-12","10.000879890384908"
"-3940","2009-03-19","57.62477518170215"
"-3933","2009-03-26","32.61370856689746"
"-3926","2009-04-02","-14.2936196215785"
"-3919","2009-04-09","-58.46366202685374"
"-3912","2009-04-16","-89.37724032546032"
"-3905","2009-04-23","-106.63710784017485"
"-3898","2009-04-30","-44.97374855063754"
"-3891","2009-05-07","-23.24932785292924"
"-3884","2009-05-14","-34.45973716332173"
"-3877","2009-05-21","-112.73470205395449"
"-3870","2009-05-28","-127.33595164995108"
"-3863","2009-06-04","-136.65347510226718"
"-3856","2009-06-11","-122.19991867164742"
"-3849","2009-06-18","-85.60320391464131"
"-3842","2009-06-25","-22.597473261959635"
"-3835","2009-07-02","-1.0124935483937634"
"-3828","2009-07-09","-28.761670439875957"
"-3821","2009-07-16","-13.828846882120615"
"-3814","2009-07-23","-18.25407637344904"
"-3807","2009-07-30","-39.1185767849305"
"-3800","2009-08-06","-58.529082396663625"
"-3793","2009-08-13","-28.601820615771203"
"-3786","2009-08-20","-63.44634536090905"
"-3779","2009-08-27","-90.14946125863901"
"-3772","2009-09-03","-156.7594715663745"
"-3765","2009-09-10","-190.27097813138732"
"-3758","2009-09-17","-236.61045378102722"
"-3751","2009-09-24","-263.6227964293399"
"-3744","2009-10-01","-256.0590600394296"
"-3737","2009-10-08","-325.56554060304427"
"-3730","2009-10-15","-285.67437573390487"
"-3723","2009-10-22","-290.7957946016894"
"-3716","2009-10-29","-297.21213107540234"
"-3709","2009-11-05","-307.0736874428925"
"-3702","2009-11-12","-313.39650929649576"
"-3695","2009-11-19","-341.06210451050663"
"-3688","2009-11-26","-317.8191110849481"
"-3681","2009-12-03","-411.2868903995238"
"-3674","2009-12-10","-469.96099452060866"
"-3667","2009-12-17","-550.2204290370441"
"-3660","2009-12-24","-478.3366068611098"
"-3653","2009-12-31","-451.48386389701966"
"-3646","2010-01-07","-451.7513848065802"
"-3639","2010-01-14","-509.156366619378"
"-3632","2010-01-21","-543.6582299405505"
"-3625","2010-01-28","-516.173672264407"
"-3618","2010-02-04","-524.5923456287456"
"-3611","2010-02-11","-559.7929317215479"
"-3604","2010-02-18","-620.6593817120848"
"-3597","2010-02-25","-648.097085608188"
"-3590","2010-03-04","-652.0487368774462"
"-3583","2010-03-11","-619.5096624001254"
"-3576","2010-03-18","-639.5423954841324"
