"excess_mortality_x","excess_mortality_x_date","excess_mortality_week","excess_mortality_y"
"-10954","1990-01-04","1990W01","312.53205217030074"
"-10947","1990-01-11","1990W02","301.76817284848073"
"-10940","1990-01-18","1990W03","344.82855888220035"
"-10933","1990-01-25","1990W04","321.7536480668741"
"-10926","1990-02-01","1990W05","259.5713692014775"
"-10919","1990-02-08","1990W06","221.29673191407403"
"-10912","1990-02-15","1990W07","144.93160346798368"
"-10905","1990-02-22","1990W08","122.46467586524523"
"-10898","1990-03-01","1990W09","118.87162380859343"
"-10891","1990-03-08","1990W10","137.11545131835635"
"-10884","1990-03-15","1990W11","73.14702206659979"
"-10877","1990-03-22","1990W12","139.90576582701965"
"-10870","1990-03-29","1990W13","149.32055088428285"
"-10863","1990-04-05","1990W14","98.31070983764198"
"-10856","1990-04-12","1990W15","98.78720400581744"
"-10849","1990-04-19","1990W16","121.65390962555261"
"-10842","1990-04-26","1990W17","113.80900726434527"
"-10835","1990-05-03","1990W18","146.1464543642852"
"-10828","1990-05-10","1990W19","134.55751962065392"
"-10821","1990-05-17","1990W20","136.9323569937053"
"-10814","1990-05-24","1990W21","123.16159656794662"
"-10807","1990-05-31","1990W22","192.1379292191308"
"-10800","1990-06-07","1990W23","213.75766212860844"
"-10793","1990-06-14","1990W24","202.92222259690766"
"-10786","1990-06-21","1990W25","194.53958834736795"
"-10779","1990-06-28","1990W26","288.5256235660155"
"-10772","1990-07-05","1990W27","209.8053012802825"
"-10765","1990-07-12","1990W28","177.31379431723667"
"-10758","1990-07-19","1990W29","163.9974189780936"
"-10751","1990-07-26","1990W30","191.81441769248033"
"-10744","1990-08-02","1990W31","225.7355692426446"
"-10737","1990-08-09","1990W32","135.74461764079763"
"-10730","1990-08-16","1990W33","157.83851336608984"
"-10723","1990-08-23","1990W34","136.0274633833527"
"-10716","1990-08-30","1990W35","151.33478913441638"
"-10709","1990-09-06","1990W36","136.79659447443862"
"-10702","1990-09-13","1990W37","143.4612482799539"
"-10695","1990-09-20","1990W38","235.3886891423531"
"-10688","1990-09-27","1990W39","169.64956214133133"
"-10681","1990-10-04","1990W40","192.32420012994987"
"-10674","1990-10-11","1990W41","176.50146422108423"
